"","Match","Fighter","Result","Opponent","Method","Round","Time","Date"
"1","15","Todd Medina","Win","Daijiro Matsui","Method Decision (Unanimous)","2","5:00",2000-06-24
"2","14","Tedd Williamswin","Win","Bill Parkerloss","Submission (Keylock)N/A","1","0:32",2000-06-24
"3","13","Fabiano Ihawin","Win","Danny Bennettloss","Submission (Armbar)N/A","1","0:49",2000-06-24
"4","12","Roger Neffwin","Win","Chris Francoloss","TKO (Submission to Punches)N/A","1","1:59",2000-06-24
"5","11","Jacen Flynnwin","Win","Ryan Painterloss","Submission (Kimura)N/A","1","2:34",2000-06-24
"6","10","Tony Galindowin","Win","Kurt Rojoloss","KO (Punch)N/A","1","0:07",2000-06-24
"7","9","Falaniko Vitalewin","Win","Aaron Torresloss","Submission (Armbar)N/A","1","2:21",2000-06-24
"8","8","Dan Rizzutowin","Win","Dustin Moeloss","Decision (Unanimous)N/A","2","5:00",2000-06-24
"9","7","Duane Ludwigwin","Win","Shad Smithloss","TKO (Corner Stoppage)N/A","1","3:08",2000-06-24
"10","6","Dave Robertswin","Win","Pete Rossiloss","TKO (Punches)N/A","1","1:28",2000-06-24
"11","5","Marvin Eastmanwin","Win","Quinton Jacksonloss","Decision (Unanimous)N/A","2","5:00",2000-06-24
"12","4","Charlie Kohlerwin","Win","Jason Meadersloss","Decision (Unanimous)N/A","2","5:00",2000-06-24
"13","3","David Velasquezwin","Win","Dave Hisquierdoloss","Decision (Unanimous)N/A","2","5:00",2000-06-24
"14","2","Roger Godinezdraw","Win","Mike Bourkedraw","DrawN/A","2","5:00",2000-06-24
"15","1","Jeremy Williamswin","Win","Brennan Kamakaloss","Submission (Armbar)N/A","1","0:58",2000-06-24
"16","13","Ricco Rodriguez","Win","Paul Buentello","Method Submission (Kneebar)","2","4:21",2001-02-24
"17","12","Pete Williamswin","Win","Rick Mathisloss","TKO (Corner Stoppage)N/A","1","5:00",2001-02-24
"18","11","Joe Hurleywin","Win","Charlie Kohlerloss","Decision (Split)N/A","3","5:00",2001-02-24
"19","10","Jeremy Williamswin","Win","Yves Edwardsloss","Decision (Split)N/A","3","5:00",2001-02-24
"20","9","Guy Mezgerwin","Win","Alexander Otsukaloss","TKO (Doctor Stoppage)N/A","2","1:57",2001-02-24
"21","8","Rafiel Torrewin","Win","Ioka Tianuuloss","Submission (Kneebar)N/A","1","1:56",2001-02-24
"22","7","Alex Andradewin","Win","Yusuke Imamuraloss","TKO (Submission to Punches)N/A","1","2:46",2001-02-24
"23","6","Marvin Eastmanwin","Win","Floyd Swordloss","Decision (Split)N/A","3","5:00",2001-02-24
"24","5","Jacen Flynnwin","Win","Dean Listerloss","Decision (Split)N/A","2","5:00",2001-02-24
"25","4","Reggie Cardieldraw","Win","Tony Galindodraw","DrawN/A","2","5:00",2001-02-24
"26","3","Shungo Oyamawin","Win","Mike Bourkeloss","KO (Punch)N/A","1","0:17",2001-02-24
"27","2","Victor Hunsakerwin","Win","Kevin Hoganloss","Submission (Armbar)N/A","1","4:36",2001-02-24
"28","1","Tony Hueciaswin","Win","Alex Richardloss","TKO (Corner Stoppage)N/A","1","5:00",2001-02-24
"29","8","Vitor Belfort","Win","Gilbert Yvel","Method Decision (Unanimous)","2","10:00",2000-06-04
"30","7","Igor Vovchanchynwin","Win","Daijiro Matsuiloss","TKO (Doctor Stoppage)Yuichi Watanabe","1","5:03",2000-06-04
"31","6","Ricco Rodriguezwin","Win","Gary Goodridgeloss","Decision (Unanimous)Yuichi Watanabe","2","10:00",2000-06-04
"32","5","Akira Shojiwin","Win","John Renkenloss","Submission (Armbar)Yuji Shimada","1","6:44",2000-06-04
"33","4","Carlos Newtonwin","Win","Naoki Sanoloss","Submission (Armbar)Akira Okabayashi","1","0:40",2000-06-04
"34","3","Allan Goeswin","Win","Vernon Whiteloss","Decision (Unanimous)Yuji Shimada","2","10:00",2000-06-04
"35","2","Carlos Barretowin","Win","Tra Telligmanloss","Decision (Unanimous)Akira Okabayashi","2","10:00",2000-06-04
"36","1","Heath Herringwin","Win","Willie Peetersloss","Submission (Rear-Naked Choke)Yuichi Watanabe","1","0:48",2000-06-04
"37","9","Kazushi Sakuraba","Win","Ryan Gracie","Method Decision (Unanimous)","1","10:00",2000-12-23
"38","8","Igor Vovchanchynwin","Win","Mark Kerrloss","Decision (Unanimous)N/A","3","5:00",2000-12-23
"39","7","Kazuyuki Fujitawin","Win","Gilbert Yvelloss","Decision (Unanimous)N/A","2","5:00",2000-12-23
"40","6","Wanderlei Silvawin","Win","Dan Hendersonloss","Decision (Unanimous)N/A","3","5:00",2000-12-23
"41","5","Heath Herringwin","Win","Enson Inoueloss","TKO (Knees)N/A","1","4:52",2000-12-23
"42","4","Ricardo Almeidawin","Win","Akira Shojiloss","Decision (Unanimous)N/A","2","5:00",2000-12-23
"43","3","Ricco Rodriguezwin","Win","John Marshloss","Decision (Unanimous)N/A","2","5:00",2000-12-23
"44","2","Carlos Newtonwin","Win","Johil de Oliveiraloss","Decision (Unanimous)N/A","2","5:00",2000-12-23
"45","1","Guy Mezgerwin","Win","Alexander Otsukaloss","TKO (Punches)N/A","1","1:52",2000-12-23
"46","8","Royce Gracie","Win","Gerard Gordeau","Method Submission (Rear-Naked Choke)","1","1:44",1993-11-12
"47","7","Jason DeLuciawin","Win","Trent Jenkinsloss","Submission (Rear-Naked Choke)Joao Alberto Barreto","1","0:52",1993-11-12
"48","6","Royce Graciewin","Win","Ken Shamrockloss","Submission (Rear-Naked Choke)Helio Vigio","1","0:57",1993-11-12
"49","5","Gerard Gordeauwin","Win","Kevin Rosierloss","TKO (Corner Stoppage)Joao Alberto Barreto","1","0:59",1993-11-12
"50","4","Ken Shamrockwin","Win","Patrick Smithloss","Submission (Heel Hook)Helio Vigio","1","1:49",1993-11-12
"51","3","Royce Graciewin","Win","Art Jimmersonloss","Submission (Smother Choke)Joao Alberto Barreto","1","2:18",1993-11-12
"52","2","Kevin Rosierwin","Win","Zane Frazierloss","TKO (Punches)Helio Vigio","1","4:20",1993-11-12
"53","1","Gerard Gordeauwin","Win","Teila Tuliloss","TKO (Head Kick)Joao Alberto Barreto","1","0:26",1993-11-12
"54","15","Royce Gracie","Win","Patrick Smith","Method TKO (Submission to Punches)","1","1:17",1994-03-11
"55","14","Royce Graciewin","Win","Remco Pardoelloss","Submission (Lapel Choke)John McCarthy","1","1:31",1994-03-11
"56","13","Patrick Smithwin","Win","Johnny Rhodesloss","Submission (Guillotine Choke)John McCarthy","1","1:07",1994-03-11
"57","12","Royce Graciewin","Win","Jason DeLucialoss","Submission (Armbar)John McCarthy","1","1:07",1994-03-11
"58","11","Remco Pardoelwin","Win","Orlando Wietloss","KO (Elbows)John McCarthy","1","1:29",1994-03-11
"59","10","Johnny Rhodeswin","Win","Fred Ettishloss","Submission (Rear-Naked Choke)John McCarthy","1","3:07",1994-03-11
"60","9","Patrick Smithwin","Win","Scott Morrisloss","KO (Elbows)John McCarthy","1","0:30",1994-03-11
"61","8","Royce Graciewin","Win","Minoki Ichiharaloss","Submission (Lapel Choke)John McCarthy","1","5:08",1994-03-11
"62","7","Jason DeLuciawin","Win","Scott Bakerloss","TKO (Submission to Punches)John McCarthy","1","6:41",1994-03-11
"63","6","Remco Pardoelwin","Win","Alberto Cerra Leonloss","Submission (Armlock)John McCarthy","1","9:51",1994-03-11
"64","5","Orlando Wietwin","Win","Robert Lucarelliloss","TKO (Knees)John McCarthy","1","2:50",1994-03-11
"65","4","Frank Hamakerwin","Win","Thaddeus Lusterloss","TKO (Corner Stoppage)John McCarthy","1","4:52",1994-03-11
"66","3","Johnny Rhodeswin","Win","David Levickiloss","TKO (Submission to Punches)John McCarthy","1","12:13",1994-03-11
"67","2","Patrick Smithwin","Win","Ray Wizardloss","Submission (Guillotine Choke)John McCarthy","1","0:58",1994-03-11
"68","1","Scott Morriswin","Win","Sean Daughertyloss","Submission (Guillotine Choke)John McCarthy","1","0:20",1994-03-11
"69","6","Steve Jennum","Win","Harold Howard","Method TKO (Submission to Punches)","1","1:27",1994-09-09
"70","5","Ken Shamrockwin","Win","Felix Mitchellloss","Submission (Rear-Naked Choke)John McCarthy","1","4:34",1994-09-09
"71","4","Royce Graciewin","Win","Kimo Leopoldoloss","Submission (Armbar)John McCarthy","1","4:40",1994-09-09
"72","3","Harold Howardwin","Win","Roland Payneloss","KO (Punch)John McCarthy","1","0:46",1994-09-09
"73","2","Ken Shamrockwin","Win","Christophe Leningerloss","TKO (Submission to Punches)John McCarthy","1","4:49",1994-09-09
"74","1","Keith Hackneywin","Win","Emmanuel Yarboroughloss","TKO (Punches)John McCarthy","1","1:59",1994-09-09
"75","10","Royce Gracie","Win","Dan Severn","Method Submission (Triangle Choke)","1","15:49",1994-12-16
"76","9","Guy Mezgerwin","Win","Jason Fairnloss","TKO (Corner Stoppage)John McCarthy","1","2:13",1994-12-16
"77","8","Dan Severnwin","Win","Marcus Bossettloss","Submission (Rear-Naked Choke)John McCarthy","1","0:52",1994-12-16
"78","7","Royce Graciewin","Win","Keith Hackneyloss","Submission (Armbar)John McCarthy","1","5:32",1994-12-16
"79","6","Dan Severnwin","Win","Anthony Maciasloss","Submission (Rear-Naked Choke)John McCarthy","1","1:45",1994-12-16
"80","5","Steve Jennumwin","Win","Melton Bowenloss","Submission (Armlock)John McCarthy","1","4:47",1994-12-16
"81","4","Keith Hackneywin","Win","Joe Sonloss","Submission (Choke)John McCarthy","1","2:44",1994-12-16
"82","3","Royce Graciewin","Win","Ron van Cliefloss","Submission (Rear-Naked Choke)John McCarthy","1","3:59",1994-12-16
"83","2","Marcus Bossettwin","Win","Eldo Dias Xavierloss","KOJohn McCarthy","1","4:55",1994-12-16
"84","1","Joe Charleswin","Win","Kevin Rosierloss","Submission (Armbar)John McCarthy","1","0:14",1994-12-16
"85","10","Dan Severn","Win","Dave Beneteau","Method Submission (Keylock)","1","3:01",1995-04-07
"86","9","Ken Shamrockdraw","Win","Royce Graciedraw","DrawJohn McCarthy","1","36:00",1995-04-07
"87","8","Dan Severnwin","Win","Oleg Taktarovloss","TKO (Cut)John McCarthy","1","4:21",1995-04-07
"88","7","Dave Beneteauwin","Win","Todd Medinaloss","TKO (Punches)John McCarthy","1","2:12",1995-04-07
"89","6","Dan Severnwin","Win","Joe Charlesloss","Submission (Rear-Naked Choke)John McCarthy","1","1:38",1995-04-07
"90","5","Oleg Taktarovwin","Win","Ernie Verdicialoss","Submission (Scarf Hold)John McCarthy","1","2:23",1995-04-07
"91","4","Todd Medinawin","Win","Larry Curetonloss","Submission (Forearm Choke)John McCarthy","1","2:55",1995-04-07
"92","3","Jon Hesswin","Win","Andy Andersonloss","TKO (Punches)John McCarthy","1","1:23",1995-04-07
"93","2","Guy Mezgerwin","Win","John Dowdyloss","TKO (Punches)John McCarthy","1","2:02",1995-04-07
"94","1","Dave Beneteauwin","Win","Asbel Cancioloss","TKO (Punches)John McCarthy","1","0:21",1995-04-07
"95","10","Oleg Taktarov","Win","David Abbott","Method Submission (Rear-Naked Choke)","1","17:45",1995-07-14
"96","9","Ken Shamrockwin","Win","Dan Severnloss","Submission (Guillotine Choke)John McCarthy","1","2:14",1995-07-14
"97","8","Oleg Taktarovwin","Win","Anthony Maciasloss","Submission (Guillotine Choke)John McCarthy","1","0:09",1995-07-14
"98","7","David Abbottwin","Win","Paul Varelansloss","TKO (Punches)John McCarthy","1","1:53",1995-07-14
"99","6","Oleg Taktarovwin","Win","Dave Beneteauloss","Submission (Front Choke)John McCarthy","1","0:57",1995-07-14
"100","5","Patrick Smithwin","Win","Rudyard Moncayoloss","Submission (Rear-Naked Choke)John McCarthy","1","1:08",1995-07-14
"101","4","Paul Varelanswin","Win","Cal Worshamloss","KO (Elbow)John McCarthy","1","1:02",1995-07-14
"102","3","David Abbottwin","Win","John Matualoss","KO (Punch)John McCarthy","1","0:20",1995-07-14
"103","2","Anthony Maciaswin","Win","He-Man Ali Gipsonloss","TKO (Submission to Punches)N/A","1","3:06",1995-07-14
"104","1","Joel Suttonwin","Win","Jack McLaughlinloss","TKO (Submission to Punches)N/A","1","2:01",1995-07-14
"105","11","Marco Ruas","Win","Paul Varelans","Method TKO (Leg Kicks and Punches)","1","13:17",1995-09-08
"106","10","Ken Shamrockdraw","Win","Oleg Taktarovdraw","DrawJohn McCarthy","1","33:00",1995-09-08
"107","9","Marco Ruaswin","Win","Remco Pardoelloss","Submission (Position)John McCarthy","1","12:27",1995-09-08
"108","8","Paul Varelanswin","Win","Mark Hallloss","Submission (Keylock)N/A","1","1:04",1995-09-08
"109","7","Marco Ruaswin","Win","Larry Curetonloss","Submission (Heel Hook)John McCarthy","1","3:23",1995-09-08
"110","6","Remco Pardoelwin","Win","Ryan Parkerloss","Submission (Lapel Choke)John McCarthy","1","3:05",1995-09-08
"111","5","Mark Hallwin","Win","Harold Howardloss","TKO (Submission to Strikes)John McCarthy","1","1:41",1995-09-08
"112","4","Paul Varelanswin","Win","Gerry Harrisloss","TKO (Submission to Elbows)John McCarthy","1","1:07",1995-09-08
"113","3","Scott Bessacwin","Win","David Hoodloss","Submission (Guillotine Choke)N/A","1","0:31",1995-09-08
"114","2","Onassis Parungaowin","Win","Francesco Maturiloss","TKO (Submission to Strikes)John McCarthy","1","5:26",1995-09-08
"115","1","Joel Suttonwin","Win","Geza Kalmanloss","TKO (Cut)John McCarthy","1","0:48",1995-09-08
"116","9","Dan Severn","Win","Oleg Taktarov","Method Decision","1","30:00",1995-12-16
"117","8","Oleg Taktarovwin","Win","Marco Ruasloss","DecisionJohn McCarthy","1","18:00",1995-12-16
"118","7","Dan Severnwin","Win","David Abbottloss","Decision (Unanimous)John McCarthy","1","18:00",1995-12-16
"119","6","Oleg Taktarovwin","Win","Dave Beneteauloss","Submission (Achilles Hold)John McCarthy","1","1:15",1995-12-16
"120","5","Marco Ruaswin","Win","Keith Hackneyloss","Submission (Rear-Naked Choke)John McCarthy","1","2:39",1995-12-16
"121","4","Dan Severnwin","Win","Paul Varelansloss","Submission (Arm-Triangle Choke)John McCarthy","1","1:40",1995-12-16
"122","3","David Abbottwin","Win","Steve Jennumloss","Submission (Neck Crank)John McCarthy","1","1:14",1995-12-16
"123","2","Mark Hallwin","Win","Trent Jenkinsloss","Submission (Armlock)John McCarthy","1","5:29",1995-12-16
"124","1","Joe Charleswin","Win","Scott Bessacloss","Submission (Armlock)John McCarthy","1","4:38",1995-12-16
"125","9","Don Frye","Win","Gary Goodridge","Method Submission (Position)","1","2:14",1996-02-16
"126","8","Ken Shamrockwin","Win","Kimo Leopoldoloss","Submission (Kneebar)John McCarthy","1","4:24",1996-02-16
"127","7","Gary Goodridgewin","Win","Jerry Bohlanderloss","TKO (Punches)John McCarthy","1","5:31",1996-02-16
"128","6","Don Fryewin","Win","Sam Adkinsloss","TKO (Doctor Stoppage)John McCarthy","1","0:48",1996-02-16
"129","5","Gary Goodridgewin","Win","Paul Herreraloss","KO (Elbows)John McCarthy","1","0:13",1996-02-16
"130","4","Jerry Bohlanderwin","Win","Scott Ferrozzoloss","Submission (Guillotine Choke)John McCarthy","1","9:03",1996-02-16
"131","3","Paul Varelanswin","Win","Joe Moreiraloss","Decision (Unanimous)John McCarthy","1","10:00",1996-02-16
"132","2","Don Fryewin","Win","Thomas Ramirezloss","KO (Punch)John McCarthy","1","0:08",1996-02-16
"133","1","Sam Adkinswin","Win","Keith Mielkeloss","TKO (Submission to Punches)John McCarthy","1","0:50",1996-02-16
"134","7","Dan Severn","Win","Ken Shamrock","Method Decision (Split)","1","30:00",1996-05-17
"135","6","Don Fryewin","Win","Amaury Bitettiloss","TKO (Punches)John McCarthy","1","9:22",1996-05-17
"136","5","Mark Hallwin","Win","Koji Kitaoloss","TKO (Doctor Stoppage)John McCarthy","1","0:40",1996-05-17
"137","4","Mark Schultzwin","Win","Gary Goodridgeloss","TKO (Cut)John McCarthy","1","12:00",1996-05-17
"138","3","Rafael Carinowin","Win","Matt Andersenloss","TKO (Punches)John McCarthy","1","5:32",1996-05-17
"139","2","Cal Worshamwin","Win","Zane Frazierloss","TKO (Punches)John McCarthy","1","3:14",1996-05-17
"140","1","Steve Nelmarkwin","Win","Tai Bowdenloss","TKO (Doctor Stoppage)N/A","1","7:25",1996-05-17
"141","9","Mark Coleman","Win","Don Frye","Method TKO (Punches)","1","11:34",1996-07-12
"142","8","Mark Colemanwin","Win","Gary Goodridgeloss","Submission (Exhaustion)John McCarthy","1","7:00",1996-07-12
"143","7","Don Fryewin","Win","Brian Johnstonloss","TKO (Submission to Elbow)John McCarthy","1","4:37",1996-07-12
"144","6","Gary Goodridgewin","Win","John Campetellaloss","KO (Punches)John McCarthy","1","1:28",1996-07-12
"145","5","Mark Colemanwin","Win","Moti Horensteinloss","TKO (Submission to Punches)John McCarthy","1","2:43",1996-07-12
"146","4","Brian Johnstonwin","Win","Scott Fiedlerloss","TKO (Submission to Punches)John McCarthy","1","2:25",1996-07-12
"147","3","Don Fryewin","Win","Mark Hallloss","TKO (Punches)John McCarthy","1","10:21",1996-07-12
"148","2","Sam Adkinswin","Win","Felix Mitchellloss","Decision (Unanimous)N/A","1","10:00",1996-07-12
"149","1","Geza Kalmanwin","Win","Dieuseul Bertoloss","TKO (Punches)N/A","1","5:57",1996-07-12
"150","8","Scott Ferrozzo","Win","David Abbott","Method Decision (Unanimous)","1","15:00",1996-09-20
"151","7","Mark Colemanwin","Win","Brian Johnstonloss","TKO (Submission to Strikes)John McCarthy","1","2:20",1996-09-20
"152","6","Jerry Bohlanderwin","Win","Fabio Gurgelloss","Decision (Unanimous)John McCarthy","1","15:00",1996-09-20
"153","5","David Abbottwin","Win","Sam Adkinsloss","Submission (Forearm Choke)John McCarthy","1","2:06",1996-09-20
"154","4","Brian Johnstonwin","Win","Reza Nasriloss","TKO (Strikes)John McCarthy","1","0:28",1996-09-20
"155","3","Mark Colemanwin","Win","Julian Sanchezloss","Submission (Scarf Hold)John McCarthy","1","0:45",1996-09-20
"156","2","Roberto Travenwin","Win","Dave Berryloss","TKO (Submission to Strikes)John McCarthy","1","1:23",1996-09-20
"157","1","Scott Ferrozzowin","Win","Sam Fultonloss","TKO (Submission to Strikes)John McCarthy","1","0:00",1996-09-20
"158","10","Don Frye","Win","David Abbott","Method Submission (Rear-Naked Choke)","1","1:22",1996-12-07
"159","9","David Abbottwin","Win","Steve Nelmarkloss","KO (Punch)John McCarthy","1","1:03",1996-12-07
"160","8","Don Fryewin","Win","Mark Hallloss","Submission (Achilles Lock)John McCarthy","1","0:20",1996-12-07
"161","7","Ken Shamrockwin","Win","Brian Johnstonloss","Submission (Forearm Choke)John McCarthy","1","5:48",1996-12-07
"162","6","Kimo Leopoldowin","Win","Paul Varelansloss","TKO (Corner Stoppage)John McCarthy","1","9:08",1996-12-07
"163","5","David Abbottwin","Win","Cal Worshamloss","TKO (Submission to Punches)John McCarthy","1","2:51",1996-12-07
"164","4","Don Fryewin","Win","Gary Goodridgeloss","Submission (Fatigue)John McCarthy","1","11:19",1996-12-07
"165","3","Tai Bowdenwin","Win","Jack Nilsonloss","TKO (Submission to Headbutts)N/A","1","4:46",1996-12-07
"166","2","Steve Nelmarkwin","Win","Marcus Bossettloss","Submission (Shoulder Choke)N/A","1","1:37",1996-12-07
"167","1","Mark Hallwin","Win","Felix Mitchellloss","TKO (Punches)N/A","1","1:45",1996-12-07
"168","9","Mark Coleman","Win","Dan Severn","Method Submission (Scarf Hold)","1","2:57",1997-02-07
"169","8","Vitor Belfortwin","Win","Scott Ferrozzoloss","TKO (Punches)John McCarthy","1","0:43",1997-02-07
"170","7","Jerry Bohlanderwin","Win","Nick Sanzoloss","Submission (Crucifix Choke)John McCarthy","1","0:39",1997-02-07
"171","6","Vitor Belfortwin","Win","Tra Telligmanloss","TKO (Cut)John McCarthy","1","1:17",1997-02-07
"172","5","Scott Ferrozzowin","Win","Jim Mullenloss","TKO (Punches)John McCarthy","1","8:02",1997-02-07
"173","4","Kazuo Takahashiwin","Win","Wallid Ismailloss","Decision (Unanimous)John McCarthy","1","15:00",1997-02-07
"174","3","Jerry Bohlanderwin","Win","Rainy Martinezloss","Submission (Rear-Naked Choke)John McCarthy","1","1:18",1997-02-07
"175","2","Justin Martinwin","Win","Eric Martinloss","Submission (Heel Hook)John McCarthy","1","0:14",1997-02-07
"176","1","Nick Sanzowin","Win","Jackie Leeloss","TKO (Strikes)John McCarthy","1","0:48",1997-02-07
"177","9","Vitor Belfort","Win","David Abbott","Method TKO (Punches)","1","0:52",1997-05-30
"178","8","Randy Couturewin","Win","Steven Grahamloss","TKO (Punches)John McCarthy","1","3:13",1997-05-30
"179","7","Guy Mezgerwin","Win","Tito Ortizloss","Submission (Guillotine Choke)John McCarthy","1","3:00",1997-05-30
"180","6","Randy Couturewin","Win","Tony Halmeloss","Submission (Rear-Naked Choke)John McCarthy","1","0:56",1997-05-30
"181","5","Steven Grahamwin","Win","Dmitri Stepanovloss","Submission (Armlock)John McCarthy","1","1:30",1997-05-30
"182","4","Enson Inouewin","Win","Royce Algerloss","Submission (Armlock)John McCarthy","1","1:36",1997-05-30
"183","3","Guy Mezgerwin","Win","Christophe Leningerloss","Decision (Unanimous)John McCarthy","1","15:00",1997-05-30
"184","2","Jack Nilsonwin","Win","Saeed Hosseiniloss","TKO (Elbows)Joe Hamilton","1","1:23",1997-05-30
"185","1","Tito Ortizwin","Win","Wes Albrittonloss","TKO (Punches)Joe Hamilton","1","0:31",1997-05-30
"186","9","Maurice Smith","Win","Mark Coleman","Method Decision (Unanimous)","1","21:00",1997-07-27
"187","8","Mark Kerrwin","Win","Dan Bobishloss","Submission (Chin to the Eye)John McCarthy","1","1:38",1997-07-27
"188","7","Kevin Jacksonwin","Win","Tony Fryklundloss","Submission (Rear-Naked Choke)John McCarthy","1","0:44",1997-07-27
"189","6","Dan Bobishwin","Win","Brian Johnstonloss","Submission (Forearm Choke)John McCarthy","1","2:10",1997-07-27
"190","5","Mark Kerrwin","Win","Moti Horensteinloss","TKO (Punches)John McCarthy","1","2:22",1997-07-27
"191","4","Kevin Jacksonwin","Win","Todd Butlerloss","TKO (Submission to Punches)John McCarthy","1","1:27",1997-07-27
"192","3","Joe Moreirawin","Win","Yuri Vaulinloss","Decision (Unanimous)John McCarthy","1","15:00",1997-07-27
"193","2","Alex Hunterwin","Win","Sam Fultonloss","TKO (Punches)John McCarthy","1","2:22",1997-07-27
"194","1","Tony Fryklundwin","Win","Donnie Chappellloss","Submission (Choke)John McCarthy","1","1:31",1997-07-27
"195","7","Maurice Smith","Win","David Abbott","Method TKO (Leg Kicks)","1","8:08",1997-10-17
"196","6","Mark Kerrwin","Win","Dwayne Casonloss","Submission (Rear-Naked Choke)John McCarthy","1","0:53",1997-10-17
"197","5","Randy Couturewin","Win","Vitor Belfortloss","TKO (Punches)John McCarthy","1","8:16",1997-10-17
"198","4","Dave Beneteauwin","Win","Carlos Barretoloss","DecisionJohn McCarthy","1","15:00",1997-10-17
"199","3","Mark Kerrwin","Win","Greg Stottloss","KO (Knee)John McCarthy","1","0:17",1997-10-17
"200","2","Dwayne Casonwin","Win","Houston Dorrloss","TKO (Punches)Joe Hamilton","1","3:43",1997-10-17
"201","1","Alex Hunterwin","Win","Harry Moskowitzloss","Decision (Split)Joe Hamilton","1","10:00",1997-10-17
"202","7","Randy Couture","Win","Maurice Smith","Method Decision","1","21:00",1997-12-21
"203","6","Kazushi Sakurabawin","Win","Marcus Silveiraloss","Submission (Armbar)John McCarthy","1","3:44",1997-12-21
"204","5","Vitor Belfortwin","Win","Joe Charlesloss","Submission (Armbar)John McCarthy","1","4:03",1997-12-21
"205","4","Frank Shamrockwin","Win","Kevin Jacksonloss","Submission (Armbar)John McCarthy","1","0:16",1997-12-21
"206","3","Kazushi SakurabaNC","Win","Marcus SilveiraNC","No Contest (Premature Stoppage)N/A","1","0:00",1997-12-21
"207","2","David Abbottwin","Win","Yoji Anjoloss","DecisionJohn McCarthy","1","15:00",1997-12-21
"208","1","Tra Telligmanwin","Win","Brad Kohlerloss","Submission (Armbar)John McCarthy","1","10:05",1997-12-21
"209","8","Frank Shamrock","Win","Igor Zinoviev","Method KO (Slam)","1","0:22",1998-03-13
"210","7","Tsuyoshi Kosakawin","Win","Kimo Leopoldoloss","Decision (Unanimous)John McCarthy","1","15:00",1998-03-13
"211","6","Pat Miletichwin","Win","Chris Brennanloss","Submission (Shoulder Choke)John McCarthy","1","9:02",1998-03-13
"212","5","Jerry Bohlanderwin","Win","Kevin Jacksonloss","Technical Submission (Armbar)John McCarthy","1","10:23",1998-03-13
"213","4","Pat Miletichwin","Win","Townsend Saundersloss","Decision (Split)Joe Hamilton","1","15:00",1998-03-13
"214","3","Mikey Burnettwin","Win","Eugenio Tadeuloss","TKO (Punches)Joe Hamilton","1","9:46",1998-03-13
"215","2","Chris Brennanwin","Win","Courtney Turnerloss","Submission (Armbar)Joe Hamilton","1","4:20",1998-03-13
"216","1","LaVerne Clarkwin","Win","Josh Stuartloss","TKO (Punches)Joe Hamilton","1","1:15",1998-03-13
"217","9","Frank Shamrock","Win","Jeremy Horn","Method Submission (Kneebar)","1","16:28",1998-05-15
"218","8","Pete Williamswin","Win","Mark Colemanloss","KO (Head Kick)John McCarthy","1","12:38",1998-05-15
"219","7","Dan Hendersonwin","Win","Carlos Newtonloss","Decision (Split)John McCarthy","1","15:00",1998-05-15
"220","6","David Abbottwin","Win","Hugo Duarteloss","TKO (Punches)John McCarthy","1","0:43",1998-05-15
"221","5","Mike Van Arsdalewin","Win","Joe Pardoloss","Submission (Keylock)John McCarthy","1","11:01",1998-05-15
"222","4","Carlos Newtonwin","Win","Bob Gilstraploss","Submission (Triangle Choke)John McCarthy","1","0:52",1998-05-15
"223","3","Dan Hendersonwin","Win","Allan Goesloss","Decision (Unanimous)Joe Hamilton","1","15:00",1998-05-15
"224","2","Andre Robertswin","Win","Harry Moskowitzloss","KO (Elbow)John McCarthy","1","3:15",1998-05-15
"225","1","Chuck Liddellwin","Win","Noe Hernandezloss","Decision (Unanimous)John McCarthy","1","12:00",1998-05-15
"226","8","Frank Shamrock","Win","John Lober","Method TKO (Submission to Punches)","1","7:40",1998-10-16
"227","7","Vitor Belfortwin","Win","Wanderlei Silvaloss","TKO (Punches)John McCarthy","1","0:44",1998-10-16
"228","6","Pedro Rizzowin","Win","David Abbottloss","KO (Punch)John McCarthy","1","8:07",1998-10-16
"229","5","Pat Miletichwin","Win","Mikey Burnettloss","DecisionJohn McCarthy","1","21:00",1998-10-16
"230","4","Tsuyoshi Kosakawin","Win","Pete Williamsloss","DecisionJohn McCarthy","1","15:00",1998-10-16
"231","3","Ebenezer Fontes Bragawin","Win","Jeremy Hornloss","Submission (Guillotine Choke)John McCarthy","1","3:27",1998-10-16
"232","2","Tulio Palhareswin","Win","Adriano Santosloss","TKOJohn McCarthy","1","9:00",1998-10-16
"233","1","Cesar Marcussiwin","Win","Paulo Santosloss","TKOJohn McCarthy","1","0:00",1998-10-16
"234","7","Bas Rutten","Win","Tsuyoshi Kosaka","Method TKO (Punches)","1","14:15",1999-01-08
"235","6","Pat Miletichwin","Win","Jorge Patinoloss","Decision (Unanimous)John McCarthy","1","21:00",1999-01-08
"236","5","Pedro Rizzowin","Win","Mark Colemanloss","Decision (Split)John McCarthy","1","15:00",1999-01-08
"237","4","Tito Ortizwin","Win","Jerry Bohlanderloss","TKO (Cut)John McCarthy","1","14:31",1999-01-08
"238","3","Mikey Burnettwin","Win","Townsend Saundersloss","Decision (Unanimous)John McCarthy","1","15:00",1999-01-08
"239","2","Evan Tannerwin","Win","Darrell Gholarloss","Submission (Rear-Naked Choke)John McCarthy","1","7:57",1999-01-08
"240","1","LaVerne Clarkwin","Win","Frank Caracciloss","TKO (Submission to Strikes)John McCarthy","1","6:52",1999-01-08
