"","Name","Result","Fighter","Event","Method/Referee","Round","Time"
"1710","Royce Gracie","win","Jason DeLucia","UFC 2 - No Way OutMar / 11 / 1994","Submission (Armbar)John McCarthy","1","1:07"
"1810","Royce Gracie","win","Minoki Ichihara","UFC 2 - No Way OutMar / 11 / 1994","Submission (Lapel Choke)John McCarthy","1","5:08"
"1910","Royce Gracie","win","Gerard Gordeau","UFC 1 - The BeginningNov / 12 / 1993","Submission (Rear-Naked Choke)Helio Vigio","1","1:44"
"208","Royce Gracie","win","Ken Shamrock","UFC 1 - The BeginningNov / 12 / 1993","Submission (Rear-Naked Choke)Helio Vigio","1","0:57"
"2114","Royce Gracie","win","Art Jimmerson","UFC 1 - The BeginningNov / 12 / 1993","Submission (Smother Choke)Joao Alberto Barreto","1","2:18"
"248","Art Jimmerson","loss","Royce Gracie","UFC 1 - The BeginningNov / 12 / 1993","Submission (Smother Choke)Joao Alberto Barreto","1","2:18"
"249","Patrick Smith","loss","Sean Loeffler","Gladiator Challenge - Freedom StrikesJul / 23 / 2016","KO (Head Kick)Raul Porrata","1","0:08"
"339","Patrick Smith","loss","Dave Huckaba","Gladiator Challenge - Collision CourseOct / 10 / 2015","KO (Punch)Josh Rosenthal","1","1:33"
"429","Patrick Smith","loss","Kevin Jordan","ASC 1 - American Steel Cagefighting 1Jul / 31 / 2009","Decision (Unanimous)N/A","3","3:00"
"523","Patrick Smith","win","Brad Imes","Titan FC 13 - Titan Fighting Championship 13Mar / 13 / 2009","TKO (Punches)Mike England","1","0:28"
"622","Patrick Smith","win","Aaron Wintterle","FM - ProductionsMar / 07 / 2009","SubmissionMike England","1","2:22"
"722","Patrick Smith","loss","Jeremiah Constant","HRP - Snakebite Fight 2Oct / 11 / 2008","TKO (Submission to Punches)N/A","1","0:42"
"817","Patrick Smith","win","Aaron Wintterle","XFL - Xtreme Fighting LeagueAug / 16 / 2008","Submission (Guillotine Choke)N/A","2","1:11"
"915","Patrick Smith","win","Eric Esch","YAMMA - Pit Fighting 1Apr / 11 / 2008","TKO (Submission to Punches and Elbows)N/A","1","3:17"
"1014","Patrick Smith","win","Derrick Ruffin","FM - ProductionsFeb / 01 / 2008","TKO (Punches)Kevin NIx","2","1:02"
"1113","Patrick Smith","win","David Tyner","Oklahoma KO - Nightmare in the Jungle 1Oct / 27 / 2007","TKON/A","2","2:45"
"1213","Patrick Smith","win","Scott Arnold","UGC 18 - Xtreme VictoryMay / 18 / 2007","TKON/A","1","2:12"
"1313","Patrick Smith","loss","Tom Clemens","XFS 5 - Heavy HittersMay / 12 / 2007","Submission (Kneebar)N/A","2","1:35"
"1413","Patrick Smith","win","Brian Stromberg","XFS 3 - Xtreme Fight Series 3Dec / 15 / 2006","TKON/A","1","4:00"
"1513","Patrick Smith","win","Vernon Earwood","RMBB - HellraisersOct / 21 / 2006","TKO (Punches)Jerome Locke","1","2:33"
"1613","Patrick Smith","win","Richard Gomez","FF 6 - Fightfest 6Sep / 23 / 2006","SubmissionN/A","1","0:47"
"1711","Patrick Smith","win","Allan Sullivan","ROF 10 - IntensityOct / 18 / 2003","KO (Punches)Gabe Beauperthuy","1","3:35"
"1811","Patrick Smith","loss","Marcus Silveira","WEF 5 - World Extreme Fighting 5Jun / 12 / 1999","N/AN/A","0","0:00"
"1911","Patrick Smith","win","Chuck Gale","BRI 3 - Bas Rutten Invitational 3Jun / 01 / 1999","TKO (Corner Stoppage)John Perretti","1","7:31"
"209","Patrick Smith","loss","Maxim Tarasov","IAFC - Pankration World Championship 1999May / 01 / 1999","Submission (Position)N/A","1","3:31"
"2115","Patrick Smith","loss","Moti Horenstein","BRI 2 - Bas Rutten Invitational 2Apr / 24 / 1999","KO (Kicks)John Perretti","1","0:26"
"2211","Patrick Smith","loss","Matt Asher","BRI 1 - Bas Rutten Invitational 1Feb / 06 / 1999","TKO (Punches)John Perretti","1","0:11"
"2310","Patrick Smith","win","Joe Grant","BRI 1 - Bas Rutten Invitational 1Feb / 06 / 1999","TKO (Submission to Punches)John Perretti","1","0:35"
"2410","Patrick Smith","win","David Dodd","EC 22 - Extreme Challenge 22Nov / 21 / 1998","Decision (Unanimous)N/A","1","16:00"
"257","Patrick Smith","win","Tony Mendoza","ES - National ChampionshipsOct / 24 / 1998","TKON/A","1","7:27"
"267","Patrick Smith","win","Marco Selva","WVC 5 - World Vale Tudo Championship 5Feb / 03 / 1998","TKO (Submission to Punches)N/A","1","4:35"
"277","Patrick Smith","loss","Marco Ruas","WVC 4 - World Vale Tudo Championship 4Mar / 16 / 1997","Submission (Heel Hook)N/A","1","0:39"
"287","Patrick Smith","loss","Fabio Gurgel","WVC 3 - World Vale Tudo Championship 3Jan / 19 / 1997","TKO (Retirement Due to Fan Interference)Sergio Batarelli","1","0:50"
"297","Patrick Smith","loss","Dave Beneteau","U - JapanNov / 17 / 1996","TKO (Submission to Punches)N/A","1","1:09"
"307","Patrick Smith","loss","Kiyoshi Tamura","K-1 - Hercules '95Dec / 09 / 1995","Submission (Heel Hook)N/A","1","0:55"
"3113","Patrick Smith","loss","Kimo Leopoldo","UFCF - United Full Contact Federation 1Sep / 08 / 1995","TKO (Submission to Punches)N/A","1","2:59"
