"","Name","Result","Fighter","Event","Method/Referee","Round","Time"
"2","Tony Galindo","loss","Tony Lopez","KOTC 49 - SobobaMar / 20 / 2005","KO (Punches)N/A","1","3:24"
"3","Tony Galindo","loss","Joey Villasenor","KOTC 21 - InvasionFeb / 21 / 2003","TKO (Corner Stoppage)Larry Landless","1","5:00"
"4","Tony Galindo","loss","Brian Sleeman","GC 6 - Caged BeastsSep / 09 / 2001","TKO (Corner Stoppage)Larry Landless","2","3:10"
"5","Tony Galindo","win","Reggie Cardiel","KOTC 9 - ShowtimeJun / 23 / 2001","DecisionN/A","2","5:00"
"6","Tony Galindo","draw","Reggie Cardiel","KOTC 7 - Wet and WildFeb / 24 / 2001","DrawN/A","2","5:00"
"7","Tony Galindo","win","Brian Hawkins","KOTC 6 - Road WarriorsNov / 29 / 2000","TKO (Punches) N/A","1","1:30"
"8","Tony Galindo","win","Kurt Rojo","KOTC 4 - GladiatorsJun / 24 / 2000","KO (Punch)N/A","1","0:07"
"21","Kurt Rojo","loss","Phillip Miller","GC 1 - Gladiator Challenge 1Dec / 09 / 2000","DecisionN/A","3","5:00"
"31","Kurt Rojo","loss","Tony Galindo","KOTC 4 - GladiatorsJun / 24 / 2000","KO (Punch)N/A","1","0:07"
"22","Brian Hawkins","loss","James Lee","KOTC - Drop ZoneMar / 18 / 2006","Submission (Heel Hook)N/A","1","0:24"
"32","Brian Hawkins","loss","Seth Petruzelli","KOTC 21 - InvasionFeb / 21 / 2003","TKO (Punches)Herb Dean","1","2:21"
"41","Brian Hawkins","win","Kent Hensley","CC 1 - Halloween HeatOct / 26 / 2002","TKO (Doctor Stoppage)N/A","1","1:00"
"51","Brian Hawkins","win","Todd Medina","KOTC 16 - Double CrossAug / 02 / 2002","TKO (Cut)N/A","1","5:00"
"61","Brian Hawkins","win","Anthony Ferguson","TFC 4 - Fightzone 4May / 17 / 2002","KON/A","1","0:00"
"71","Brian Hawkins","loss","Jorge Rivera","TFC FightZone - Back in the ZoneMar / 22 / 2002","KO (Punches)N/A","1","N/A"
"81","Brian Hawkins","loss","Tony Galindo","KOTC 6 - Road WarriorsNov / 29 / 2000","TKO (Punches) N/A","1","1:30"
"9","Brian Hawkins","win","Jerome Beal","TFC 3 - Fightzone 3Oct / 19 / 2000","TKO (Punches)N/A","0","N/A"
"10","Brian Hawkins","win","Russell Little","TFC 2 - Fightzone 2Jul / 20 / 2000","KO (Punches)N/A","0","N/A"
"210","Ken Shamrock","loss","Royce Gracie","Bellator 149 - Shamrock vs. GracieFeb / 19 / 2016","TKO (Knee and Punches)Jacob Montalvo","1","2:22"
"310","Ken Shamrock","loss","Kevin Ferguson","Bellator 138 - Unfinished BusinessJun / 19 / 2015","TKO (Punches)John McCarthy","1","2:22"
"49","Ken Shamrock","loss","Mike Bourke","KOTC - PlatinumNov / 25 / 2010","TKO (Punches)N/A","1","2:00"
"52","Ken Shamrock","win","Johnathan Ivey","USA MMA  - Return of the ChampionsOct / 16 / 2010","Decision (Unanimous)N/A","3","5:00"
"62","Ken Shamrock","loss","Pedro Rizzo","Impact FC 2 - The Uprising: SydneyJul / 18 / 2010","TKO (Leg Kicks and Punches)John McCarthy","1","3:33"
"72","Ken Shamrock","win","Ross Clifton","Wargods/Ken Shamrock Productions - The Valentine's Eve MassacreFeb / 13 / 2009","Submission (Armbar)N/A","1","1:00"
"82","Ken Shamrock","loss","Robert Berry","Cage Rage 25 - Bring It OnMar / 08 / 2008","KO (Punches)N/A","1","3:26"
"91","Ken Shamrock","loss","Tito Ortiz","UFC Fight Night 6.5 - Ortiz vs. Shamrock 3Oct / 10 / 2006","TKO (Punches)John McCarthy","1","2:23"
"101","Ken Shamrock","loss","Tito Ortiz","UFC 61 - Bitter RivalsJul / 08 / 2006","TKO (Elbows)Herb Dean","1","1:18"
"11","Ken Shamrock","loss","Kazushi Sakuraba","Pride 30 - Fully LoadedOct / 23 / 2005","TKO (Punch)N/A","1","2:27"
"12","Ken Shamrock","loss","Rich Franklin","UFC - The Ultimate Fighter 1 FinaleApr / 09 / 2005","TKO (Punches)John McCarthy","1","2:42"
"13","Ken Shamrock","win","Kimo Leopoldo","UFC 48 - PaybackJun / 19 / 2004","KO (Knee)N/A","1","1:26"
"14","Ken Shamrock","loss","Tito Ortiz","UFC 40 - VendettaNov / 22 / 2002","TKO (Corner Stoppage)N/A","3","5:00"
"15","Ken Shamrock","loss","Don Frye","Pride 19 - Bad BloodFeb / 24 / 2002","Decision (Split)N/A","3","5:00"
"16","Ken Shamrock","win","Sam Adkins","WMMAA 1 - MegaFightsAug / 10 / 2001","Submission (Kimura)N/A","1","1:26"
"17","Ken Shamrock","loss","Kazuyuki Fujita","Pride 10 - Return of the WarriorsAug / 27 / 2000","TKO (Corner Stoppage)N/A","1","6:46"
"18","Ken Shamrock","win","Alexander Otsuka","Pride FC - Pride Grand Prix 2000: FinalsMay / 01 / 2000","KO (Punches)Akira Okabayashi","1","9:43"
"19","Ken Shamrock","win","Brian Johnston","UFC - Ultimate Ultimate 1996Dec / 07 / 1996","Submission (Forearm Choke)John McCarthy","1","5:48"
"20","Ken Shamrock","loss","Dan Severn","UFC 9 - Motor City MadnessMay / 17 / 1996","Decision (Split)John McCarthy","1","30:00"
"211","Ken Shamrock","win","Kimo Leopoldo","UFC 8 - David vs. GoliathFeb / 16 / 1996","Submission (Kneebar)John McCarthy","1","4:24"
"221","Ken Shamrock","win","Kazuo Takahashi","Pancrase - Truth 1Jan / 28 / 1996","Decision (Lost Points)Soichi Hiroto","1","20:00"
"23","Ken Shamrock","win","Katsuomi Inagaki","Pancrase - Eyes Of Beast 7Dec / 14 / 1995","Submission (Arm-Triangle Choke)Kenji Kosuge","1","3:19"
"24","Ken Shamrock","draw","Oleg Taktarov","UFC 7 - The Brawl in BuffaloSep / 08 / 1995","DrawJohn McCarthy","1","33:00"
"25","Ken Shamrock","win","Larry Papadopoulos","Pancrase - 1995 Neo-Blood Tournament Opening RoundJul / 22 / 1995","Submission (Achilles Lock)Kenji Kosuge","1","2:18"
"26","Ken Shamrock","win","Dan Severn","UFC 6 - Clash of the TitansJul / 14 / 1995","Submission (Guillotine Choke)John McCarthy","1","2:14"
"27","Ken Shamrock","loss","Minoru Suzuki","Pancrase - Eyes Of Beast 4May / 13 / 1995","Submission (Kneebar)Soichi Hiroto","1","2:14"
"28","Ken Shamrock","draw","Royce Gracie","UFC 5 - The Return of the BeastApr / 07 / 1995","DrawJohn McCarthy","1","36:00"
"29","Ken Shamrock","win","Bas Rutten","Pancrase - Eyes Of Beast 2Mar / 10 / 1995","Submission (Kneebar)Soichi Hiroto","1","1:01"
"30","Ken Shamrock","win","Leon van Dijk","Pancrase - Eyes Of Beast 1Jan / 26 / 1995","Submission (Heel Hook)Soichi Hiroto","1","4:45"
"311","Ken Shamrock","win","Manabu Yamada","Pancrase - King Of Pancrase Tournament Second RoundDec / 17 / 1994","Decision (Unanimous)Soichi Hiroto","1","30:00"
"321","Ken Shamrock","win","Masakatsu Funaki","Pancrase - King Of Pancrase Tournament Second RoundDec / 17 / 1994","Submission (Arm-Triangle Choke)Soichi Hiroto","1","5:50"
"33","Ken Shamrock","win","Maurice Smith","Pancrase - King of Pancrase Tournament Opening RoundDec / 16 / 1994","Submission (Arm-Triangle Choke)Masaaki Hirahara","1","4:23"
"34","Ken Shamrock","win","Alex Cook","Pancrase - King of Pancrase Tournament Opening RoundDec / 16 / 1994","Submission (Heel Hook)Soichi Hiroto","1","1:31"
"35","Ken Shamrock","win","Takaku Fuke","Pancrase - Road To The Championship 5Oct / 15 / 1994","Submission (Rear-Naked Choke)N/A","1","3:13"
"36","Ken Shamrock","win","Felix Mitchell","UFC 3 - The American DreamSep / 09 / 1994","Submission (Rear-Naked Choke)John McCarthy","1","4:34"
"37","Ken Shamrock","win","Christophe Leninger","UFC 3 - The American DreamSep / 09 / 1994","TKO (Submission to Punches)John McCarthy","1","4:49"
"38","Ken Shamrock","loss","Masakatsu Funaki","Pancrase - Road To The Championship 4Sep / 01 / 1994","Submission (Rear-Naked Choke)N/A","1","2:30"
"39","Ken Shamrock","win","Bas Rutten","Pancrase - Road To The Championship 3Jul / 26 / 1994","Submission (Rear-Naked Choke)N/A","1","16:42"
"40","Ken Shamrock","win","Matt Hume","Pancrase - Road To The Championship 2Jul / 06 / 1994","Submission (Kimura)N/A","1","5:50"
"411","Ken Shamrock","win","Ryushi Yanagisawa","Pancrase - Pancrash! 3Apr / 21 / 1994","Submission (Heel Hook)N/A","1","7:30"
"42","Ken Shamrock","loss","Minoru Suzuki","Pancrase - Pancrash! 1Jan / 19 / 1994","Submission (Heel Hook and Kneebar)N/A","1","7:37"
"43","Ken Shamrock","win","Andre Van Den Oetelaar","Pancrase - Yes, We Are Hybrid Wrestlers 4Dec / 08 / 1993","Submission (Achilles Lock)Soichi Hiroto","1","1:04"
"44","Ken Shamrock","loss","Royce Gracie","UFC 1 - The BeginningNov / 12 / 1993","Submission (Rear-Naked Choke)Helio Vigio","1","0:57"
"45","Ken Shamrock","win","Patrick Smith","UFC 1 - The BeginningNov / 12 / 1993","Submission (Heel Hook)Helio Vigio","1","1:49"
"46","Ken Shamrock","win","Takaku Fuke","Pancrase - Yes, We Are Hybrid Wrestlers 3Nov / 08 / 1993","Submission (Rear-Naked Choke)Soichi Hiroto","1","0:44"
"47","Ken Shamrock","win","Kazuo Takahashi","Pancrase - Yes, We Are Hybrid Wrestlers 2Oct / 14 / 1993","Submission (Heel Hook)Soichi Hiroto","1","12:23"
"48","Ken Shamrock","win","Masakatsu Funaki","Pancrase - Yes, We Are Hybrid Wrestlers 1Sep / 21 / 1993","Submission (Arm-Triangle Choke)Soichi Hiroto","1","6:15"
"212","Alexander Otsuka","win","Bob Sapp","Accel - Vol. 18: X'mas Seiya MatsuriDec / 25 / 2011","DQ (Illegal Slams)N/A","2","1:43"
"312","Alexander Otsuka","win","Masada Masada","VFX - Vale Tudo Fighters MexicoMay / 27 / 2006","Submission (Triangle Choke)N/A","1","4:00"
"410","Alexander Otsuka","loss","Murilo Rua","Pride 27 - InfernoFeb / 01 / 2004","Submission (Arm-Triangle Choke)N/A","1","1:25"
"53","Alexander Otsuka","win","Kenichi Yamamoto","Pride 25 - Body BlowMar / 16 / 2003","Decision (Unanimous)N/A","3","5:00"
"63","Alexander Otsuka","loss","Yoshihisa Yamamoto","Pride 24 - Cold Fury 3Dec / 23 / 2002","TKO (Leg Injury)N/A","2","5:00"
"73","Alexander Otsuka","loss","Anderson Silva","Pride 22 - Beasts From The East 2Sep / 29 / 2002","Decision (Unanimous)N/A","3","5:00"
"83","Alexander Otsuka","loss","Sanae Kikuta","Pride 20 - Armed and ReadyApr / 28 / 2002","Decision (Unanimous)N/A","3","5:00"
"92","Alexander Otsuka","loss","Wanderlei Silva","Pride 18 - Cold Fury 2Dec / 23 / 2001","TKO (Doctor Stoppage)N/A","3","2:22"
"102","Alexander Otsuka","loss","Quinton Jackson","BattlArts - BattlArts vs. the WorldOct / 14 / 2001","TKO (Doctor Stoppage)N/A","2","5:00"
"111","Alexander Otsuka","loss","Guy Mezger","KOTC 7 - Wet and WildFeb / 24 / 2001","TKO (Doctor Stoppage)N/A","2","1:57"
"121","Alexander Otsuka","loss","Guy Mezger","Pride 12 - Cold FuryDec / 23 / 2000","TKO (Punches)N/A","1","1:52"
"131","Alexander Otsuka","win","Mike Bourke","Pride 11 - Battle of the Rising SunOct / 31 / 2000","Submission (Double Armbar)N/A","1","2:37"
"141","Alexander Otsuka","loss","Ken Shamrock","Pride FC - Pride Grand Prix 2000: FinalsMay / 01 / 2000","KO (Punches)Akira Okabayashi","1","9:43"
"151","Alexander Otsuka","loss","Igor Vovchanchyn","Pride FC - Pride Grand Prix 2000: Opening RoundJan / 30 / 2000","Decision (Unanimous)Yuji Shimada","1","15:00"
"161","Alexander Otsuka","loss","Renzo Gracie","Pride FC - Pride 8Nov / 21 / 1999","Decision (Unanimous)Akira Okabayashi","2","10:00"
"171","Alexander Otsuka","win","Marco Ruas","Pride FC - Pride 4Oct / 11 / 1998","TKO (Corner Stoppage)Takumi Adachi","2","10:00"
"181","Alexander Otsuka","loss","Chris Haseman","Rings - Extension Fighting 2Apr / 22 / 1997","TKO (Doctor Stoppage)N/A","1","7:03"
"191","Alexander Otsuka","loss","Egan Inoue","Lumax Cup - Tournament of J '95Oct / 13 / 1995","Submission (Armbar)N/A","1","0:55"
"213","Johil de Oliveira","loss","Haroldo Bunn","Shooto Brasil 87 - BOPEAug / 24 / 2018","Submission (Armbar)Osiris Maia","1","4:38"
"313","Johil de Oliveira","loss","Christian Tide Squeti","SJSF - Sao Jose Super Fight 2Jun / 09 / 2012","Decision (Unanimous)N/A","3","5:00"
"412","Johil de Oliveira","win","Marcos Tulio","SJSF - Sao Jose Super Fight 1Oct / 01 / 2011","Decision (Unanimous)N/A","3","5:00"
"54","Johil de Oliveira","win","Haroldo Bunn","Shooto Brazil 25 - Fight for BOPEAug / 25 / 2011","TKO (Doctor Stoppage)Cacau","2","4:09"
"64","Johil de Oliveira","loss","Eduardo Simoes","FA - Fatality Arena 3May / 28 / 2011","Decision (Unanimous)N/A","3","5:00"
"74","Johil de Oliveira","NC","Alessandro Ferreira","JF - Jungle Fight 22Sep / 18 / 2010","No Contest (Illegal Spike)Carlos Barreto","1","0:32"
"84","Johil de Oliveira","loss","Ivan Iberico","Inka FC 6 - Peru vs. BrazilJul / 16 / 2009","TKO (Punches)N/A","2","3:50"
"93","Johil de Oliveira","win","Rodrigo Jacome","JF - Jungle Fight 14May / 09 / 2009","Submission (Kimura)N/A","1","3:04"
"103","Johil de Oliveira","win","Danilo Noronha","JF - Jungle Fight 11Sep / 13 / 2008","Decision (Unanimous)N/A","3","5:00"
"112","Johil de Oliveira","loss","Rodrigo Damm","UFS - Universidade Fight Show 1Oct / 07 / 2007","DecisionN/A","3","5:00"
"122","Johil de Oliveira","win","Jonatas Novaes","OF - Open FightAug / 04 / 2007","DecisionN/A","0","0:00"
"132","Johil de Oliveira","loss","Rafael dos Anjos","Juiz de Fora - Fight 4Apr / 14 / 2007","Submission (Rear-Naked Choke)N/A","1","2:50"
"142","Johil de Oliveira","loss","Leonardo Soares","Juiz de Fora - Fight 3Apr / 08 / 2006","Decision (Split)N/A","3","5:00"
"152","Johil de Oliveira","loss","Alexandre Barros","RMMAC - Rio MMA Challenge 1May / 12 / 2005","TKO (Doctor Stoppage)N/A","0","0:00"
"162","Johil de Oliveira","loss","Mark Weir","Cage Rage 8 - Knights of the OctagonSep / 11 / 2004","Submission (Arm-Triangle Choke)N/A","1","1:35"
"172","Johil de Oliveira","loss","Silmar Rodrigo","BC - Bitetti Combat Nordeste 2Mar / 20 / 2003","Decision (Unanimous)N/A","3","5:00"
"182","Johil de Oliveira","loss","Daiju Takase","Pride FC - The Best, Vol. 1Feb / 22 / 2002","Decision (Unanimous)N/A","3","5:00"
"192","Johil de Oliveira","loss","Antonio Schembri","Pride 14 - Clash of the TitansMay / 27 / 2001","Submission (Armbar)N/A","1","7:17"
"201","Johil de Oliveira","loss","Carlos Newton","Pride 12 - Cold FuryDec / 23 / 2000","Decision (Unanimous)N/A","2","5:00"
"214","Johil de Oliveira","loss","Jose Landi-Jons","IVC 11 - The Tournament is BackApr / 27 / 1999","Decision (Unanimous)N/A","1","30:00"
"222","Johil de Oliveira","win","Darrell Gholar","IVC 5 - The WarriorsApr / 26 / 1998","Decision (Unanimous)N/A","1","30:00"
"231","Johil de Oliveira","loss","Wallid Ismail","IVC 3 - The War ContinuesDec / 10 / 1997","TKO (Submission to Punches)N/A","1","9:48"
"241","Johil de Oliveira","win","Joao Bosco","IVC 2 - A Question of PrideSep / 15 / 1997","TKO (Punches)N/A","1","8:33"
"251","Johil de Oliveira","win","Jose Landi-Jons","WVC 4 - World Vale Tudo Championship 4Mar / 16 / 1997","Decision (Unanimous)N/A","1","30:00"
"261","Johil de Oliveira","win","Koji Lierman","WVC 4 - World Vale Tudo Championship 4Mar / 16 / 1997","Submission (Rear-Naked Choke)N/A","1","0:45"
"271","Johil de Oliveira","win","Cristian Quezada","UVF 5 - Universal Vale Tudo Fighting 5Jan / 30 / 1997","TKO (Retirement)N/A","1","4:59"
"281","Johil de Oliveira","win","Claudionor Cardoso da Silva","BVF 6 - Campeonato Brasileiro de Vale Tudo 1Nov / 01 / 1996","TKO (Submission to Strikes)N/A","1","6:47"
"291","Johil de Oliveira","win","Ernando dos Santos","BVF 6 - Campeonato Brasileiro de Vale Tudo 1Nov / 01 / 1996","Submission (Rear-Naked Choke)N/A","1","2:49"
"301","Johil de Oliveira","draw","John Lewis","EF 3 - Extreme Fighting 3Oct / 18 / 1996","DrawN/A","3","5:00"
"314","Johil de Oliveira","win","Luiz Fraga","BVF 2 - Brazilian Vale Tudo Fighting 2May / 31 / 1996","DecisionN/A","2","10:00"
"322","Johil de Oliveira","win","Claudionor Cardoso da Silva","BVF 2 - Brazilian Vale Tudo Fighting 2May / 31 / 1996","Submission (Rear-Naked Choke)N/A","1","5:11"
"331","Johil de Oliveira","win","Alexandre Sagatte","BVF 2 - Brazilian Vale Tudo Fighting 2May / 31 / 1996","Submission (Armbar)N/A","1","2:23"
"341","Johil de Oliveira","win","Akira Nagase","UVF 1 - Universal Vale Tudo Fighting 1Apr / 05 / 1996","TKO (Doctor Stoppage)N/A","1","10:00"
"351","Johil de Oliveira","loss","Crezio de Souza","DDT - Duelo de TitasSep / 01 / 1995","Submission (Rear-Naked Choke)N/A","1","N/A"
"361","Johil de Oliveira","win","Paulo de Jesus","GCVT - Gaisei Challenge Vale TudoNov / 30 / 00-1","Submission (Choke)N/A","1","0:45"
"215","Carlos Newton","loss","Brian Ebersole","Impact FC 1 - The Uprising: BrisbaneJul / 10 / 2010","Decision (Unanimous)John McCarthy","3","5:00"
"315","Carlos Newton","win","Shonie Carter","W-1 MMA 3 - High VoltageOct / 10 / 2009","Decision (Unanimous)N/A","3","5:00"
"413","Carlos Newton","win","Nabil Khatib","W-1 MMA 1 - InceptionMar / 28 / 2009","TKO (Punches)Yves Lavigne","1","3:12"
"55","Carlos Newton","loss","Shungo Oyama","K-1 HERO's - HERO's 2007 in KoreaOct / 28 / 2007","TKO (Submission to Punches)N/A","3","2:42"
"65","Carlos Newton","loss","Matt Lindland","IFL - HoustonFeb / 02 / 2007","Submission (Guillotine Choke)N/A","2","1:43"
"75","Carlos Newton","loss","Renzo Gracie","IFL - Championship FinalDec / 29 / 2006","Decision (Split)N/A","3","4:00"
"85","Carlos Newton","win","Tokimitsu Ishizawa","K-1 - Hero's 7Oct / 09 / 2006","TKO (Punches)N/A","1","0:22"
"94","Carlos Newton","loss","Ryo Chonan","Pride - Bushido 5Oct / 14 / 2004","Decision (Unanimous)N/A","2","5:00"
"104","Carlos Newton","loss","Daiju Takase","Pride - Bushido 3May / 23 / 2004","Decision (Split)N/A","2","5:00"
"113","Carlos Newton","loss","Renato Verissimo","UFC 46 - SupernaturalJan / 31 / 2004","Decision (Unanimous)N/A","3","5:00"
"123","Carlos Newton","win","Renzo Gracie","Pride - Bushido 1Oct / 05 / 2003","Decision (Split)N/A","2","5:00"
"133","Carlos Newton","loss","Anderson Silva","Pride 25 - Body BlowMar / 16 / 2003","KO (Flying Knee and Punches)N/A","1","6:27"
"143","Carlos Newton","win","Pete Spratt","UFC 40 - VendettaNov / 22 / 2002","Submission (Kimura)N/A","1","1:45"
"153","Carlos Newton","loss","Matt Hughes","UFC 38 - Brawl at the HallJul / 13 / 2002","TKO (Punches)N/A","4","3:27"
"163","Carlos Newton","win","Jose Landi-Jons","Pride 19 - Bad BloodFeb / 24 / 2002","Submission (Armbar)N/A","1","7:16"
"173","Carlos Newton","loss","Matt Hughes","UFC 34 - High VoltageNov / 02 / 2001","KO (Slam)N/A","2","1:27"
"183","Carlos Newton","win","Pat Miletich","UFC 31 - Locked & LoadedMay / 04 / 2001","Submission (Bulldog Choke)N/A","3","2:50"
"193","Carlos Newton","loss","Dave Menne","Shidokan Jitsu - Warriors War 1Feb / 08 / 2001","Decision (Unanimous)N/A","1","10:00"
"202","Carlos Newton","win","Johil de Oliveira","Pride 12 - Cold FuryDec / 23 / 2000","Decision (Unanimous)N/A","2","5:00"
"216","Carlos Newton","win","Naoki Sano","Pride 9 - New BloodJun / 04 / 2000","Submission (Armbar)Akira Okabayashi","1","0:40"
"223","Carlos Newton","win","Karl Schmidt","WEF 9 - World ClassMay / 13 / 2000","Submission (Armbar)N/A","1","1:12"
"232","Carlos Newton","win","Daijiro Matsui","Pride FC - Pride 6Jul / 04 / 1999","Decision (Unanimous)Akira Okabayashi","3","5:00"
"242","Carlos Newton","win","Kenji Kawaguchi","Shooto - 10th Anniversary EventMay / 29 / 1999","Submission (Armbar)N/A","1","5:00"
"252","Carlos Newton","loss","Kazushi Sakuraba","Pride FC - Pride 3Jun / 24 / 1998","Submission (Kneebar)Yuji Shimada","2","5:19"
"262","Carlos Newton","loss","Dan Henderson","UFC 17 - RedemptionMay / 15 / 1998","Decision (Split)John McCarthy","1","15:00"
"272","Carlos Newton","win","Bob Gilstrap","UFC 17 - RedemptionMay / 15 / 1998","Submission (Triangle Choke)John McCarthy","1","0:52"
"282","Carlos Newton","win","Kazuhiro Kusayanagi","Shooto - Las Grandes Viajes 2Mar / 01 / 1998","Submission (Armbar)N/A","1","2:17"
"292","Carlos Newton","win","Haim Gozali","Israel Fighting Championship - Israel vs. CanadaJan / 01 / 1998","Submission (Armbar)N/A","1","0:00"
"302","Carlos Newton","win","Erik Paulson","VTJ 1997 - Vale Tudo Japan 1997Nov / 29 / 1997","Submission (Armbar)N/A","1","0:41"
"316","Carlos Newton","loss","Jean Riviere","EF 2 - Extreme Fighting 2Apr / 26 / 1996","TKO (Exhaustion)John Donehue","1","7:22"
"217","Ricco Rodriguez","loss","Hatef Moeil","CFS 9 - Cage Fight Series 9Feb / 02 / 2019","Decision (Unanimous)Wolfgang Hartl","3","5:00"
"317","Ricco Rodriguez","loss","Alex Nicholson","AFC 24 - CamSoda LegendsApr / 26 / 2018","TKO (Submission to Punches)N/A","1","1:27"
"414","Ricco Rodriguez","win","Nandor Guelmino","CFS 8 - Cage Fight Series 8Jan / 20 / 2018","Submission (Forearm Choke)Nebil Sebai","3","2:07"
"510","Ricco Rodriguez","loss","Gilbert Yvel","WFCA 32 - Grozny BattleNov / 19 / 2016","TKO (Leg Kicks)Ashot Ashugyan","1","1:00"
"610","Ricco Rodriguez","loss","Ivan Shtyrkov","Titov Boxing Promotion - Shtyrkov vs. RodriguezSep / 09 / 2016","TKO (Punches)N/A","1","1:55"
"710","Ricco Rodriguez","loss","Denis Stojnic","BFC - Bosnia Fight Championship 2Jun / 13 / 2015","TKO (Punches)N/A","2","0:22"
"86","Ricco Rodriguez","loss","Dion Staring","FFC  - Final Fight Championship 17Dec / 20 / 2014","TKO (Retirement)Zlatko Klaric","2","5:00"
"95","Ricco Rodriguez","win","Nestoras Batzelas","FFC - Final Fight Championship 10Dec / 13 / 2013","TKO (Punches)Zlatko Klaric","2","3:33"
"105","Ricco Rodriguez","NC","Denis Stojnic","BFC - Bosnia Fight Championship 1Nov / 09 / 2013","No ContestIsmar Sapcanin","1","4:55"
"114","Ricco Rodriguez","win","Zelg Galesic","FFC - Final Fight Championship 8Oct / 25 / 2013","Submission (Armbar)Zlatko Klaric","1","3:50"
"124","Ricco Rodriguez","loss","Ian Freeman","UCFC 5 - Legends of MMAJul / 27 / 2013","TKO (Punches)Marc Goddard","1","2:11"
"134","Ricco Rodriguez","loss","Marcin Lazarz","GWC - The British Invasion: U.S. vs. U.K.Jun / 29 / 2013","Decision (Unanimous)Paul Wilkes","3","5:00"
"144","Ricco Rodriguez","win","Tomaz Simonic","FFC - Final Fight Championship 5May / 24 / 2013","Submission (Armbar)Zlatko Klaric","1","3:49"
"154","Ricco Rodriguez","win","Andreas Kraniotakes","CFS 7 - Cage Fight Series 7May / 12 / 2013","Decision (Unanimous)N/A","3","5:00"
"164","Ricco Rodriguez","loss","Ante Delija","NG - Noc Gladiatora 7Dec / 21 / 2012","Decision (Unanimous)Zlatko Klaric","2","5:00"
"174","Ricco Rodriguez","win","Kevin Thompson","UWC 21 - XplosionOct / 20 / 2012","Submission (Armbar)N/A","1","4:45"
"184","Ricco Rodriguez","loss","Stav Economou","Dubai FC 1 - The BeginningMay / 04 / 2012","Decision (Unanimous)Alex Grimmer","3","5:00"
"194","Ricco Rodriguez","loss","Ruslan Magomedov","United Glory 15 - 2012 Glory World SeriesMar / 23 / 2012","Decision (Unanimous)N/A","3","5:00"
"203","Ricco Rodriguez","loss","Alexander Volkov","BF - Baltic Challenge 3Feb / 23 / 2012","Decision (Unanimous)N/A","3","5:00"
"218","Ricco Rodriguez","loss","Blagoy Ivanov","CMMAT - Chekhov MMA TournamentDec / 24 / 2011","TKO (Retirement)N/A","3","3:33"
"224","Ricco Rodriguez","win","Bashir Yamilkhanov","FEFoMP - Battle of Empires 1Dec / 17 / 2011","TKO (Punches)N/A","2","2:56"
"233","Ricco Rodriguez","loss","Glover Teixeira","MMAAD - MMA Against DengueNov / 27 / 2011","TKO (Submission to Punches)N/A","1","1:58"
"243","Ricco Rodriguez","loss","Michal Kita","MMAA - MMA AttackNov / 05 / 2011","Decision (Unanimous)Grzegorz Jakubowski","2","5:00"
"253","Ricco Rodriguez","loss","Seth Petruzelli","BFC - Bellator Fighting Championships 48Aug / 20 / 2011","TKO (Punches)Dan Miragliotta","1","4:21"
"263","Ricco Rodriguez","win","Doug Williams","SF 17 - Horwich vs. Rosholt 2Jul / 15 / 2011","Submission (Rear-Naked Choke)Kerry Hatley","1","2:16"
"273","Ricco Rodriguez","win","James McSweeney","BAMMA 5 - Daley vs. ShiraiFeb / 26 / 2011","Decision (Unanimous)Mark Woodard","3","5:00"
"283","Ricco Rodriguez","win","Daniel Tabera","Israel Fighting Championship - GenesisNov / 09 / 2010","Decision (Unanimous)N/A","3","5:00"
"293","Ricco Rodriguez","win","John Juarez","USA MMA - StackedJul / 31 / 2010","Decision (Split)N/A","3","5:00"
"303","Ricco Rodriguez","win","Bobby Martinez","AFA 4 - Parking Lot BeatdownJul / 17 / 2010","Submission (Heel Hook)Robert Hinds","1","1:03"
"318","Ricco Rodriguez","win","Ken Sparks","USA MMA - LegendsMay / 22 / 2010","TKO (Punches)N/A","1","2:32"
"323","Ricco Rodriguez","win","Travis Fulton","CT - Cage ThugMay / 01 / 2010","KO (Head Kick)N/A","1","N/A"
"332","Ricco Rodriguez","win","Brian Ryan","XKL - Evolution 1Mar / 20 / 2010","TKO (Punches)N/A","2","2:05"
"342","Ricco Rodriguez","win","Patrick Miller","STFC 10 - AnnihilationFeb / 26 / 2010","TKO (Punches)Mark Calo-oy","2","2:20"
"352","Ricco Rodriguez","win","Moise Rimbon","Union of Veterans of Sport - Mayor's Cup 2009Nov / 27 / 2009","Decision (Split)N/A","3","3:00"
"362","Ricco Rodriguez","win","Justin Howard","KOK 7 - Judgment DayAug / 29 / 2009","TKO (Submission to Punches)Kerry Hatley","1","2:05"
"371","Ricco Rodriguez","win","John Brown","Reality Combat - The ReturnJul / 25 / 2009","Submission (Rear-Naked Choke)N/A","3","2:34"
"381","Ricco Rodriguez","loss","Mario Rinaldi","WFC  - Battle of the Bay 8Jul / 10 / 2009","Decision (Unanimous)N/A","3","5:00"
"391","Ricco Rodriguez","win","Doug Williams","Armageddon - Armageddon 9Jun / 27 / 2009","Submission (Anaconda Choke)Duncan Black","1","1:02"
"401","Ricco Rodriguez","loss","Jeff Monson","MFA - There Will Be BloodDec / 13 / 2008","Decision (Unanimous)N/A","3","5:00"
