"","Match","Fighter","Result","Opponent","Method","Round","Time","Date"
"1","15","Todd Medina","Win","Daijiro Matsui","Method Decision (Unanimous)","2","5:00",2000-06-24
"2","14","Tedd Williams","Win","Bill Parker","Submission (Keylock)N/A","1","0:32",2000-06-24
"3","13","Fabiano Iha","Win","Danny Bennett","Submission (Armbar)N/A","1","0:49",2000-06-24
"4","12","Roger Neff","Win","Chris Franco","TKO (Submission to Punches)N/A","1","1:59",2000-06-24
"5","11","Jacen Flynn","Win","Ryan Painter","Submission (Kimura)N/A","1","2:34",2000-06-24
"6","10","Tony Galindo","Win","Kurt Rojo","KO (Punch)N/A","1","0:07",2000-06-24
"7","9","Falaniko Vitale","Win","Aaron Torres","Submission (Armbar)N/A","1","2:21",2000-06-24
"8","8","Dan Rizzuto","Win","Dustin Moe","Decision (Unanimous)N/A","2","5:00",2000-06-24
"9","7","Duane Ludwig","Win","Shad Smith","TKO (Corner Stoppage)N/A","1","3:08",2000-06-24
"10","6","Dave Roberts","Win","Pete Rossi","TKO (Punches)N/A","1","1:28",2000-06-24
"11","5","Marvin Eastman","Win","Quinton Jackson","Decision (Unanimous)N/A","2","5:00",2000-06-24
"12","4","Charlie Kohler","Win","Jason Meaders","Decision (Unanimous)N/A","2","5:00",2000-06-24
"13","3","David Velasquez","Win","Dave Hisquierdo","Decision (Unanimous)N/A","2","5:00",2000-06-24
"14","2","Roger Godinez","Draw","Mike Bourke","DrawN/A","2","5:00",2000-06-24
"15","1","Jeremy Williams","Win","Brennan Kamaka","Submission (Armbar)N/A","1","0:58",2000-06-24
"16","13","Ricco Rodriguez","Win","Paul Buentello","Method Submission (Kneebar)","2","4:21",2001-02-24
"17","12","Pete Williams","Win","Rick Mathis","TKO (Corner Stoppage)N/A","1","5:00",2001-02-24
"18","11","Joe Hurley","Win","Charlie Kohler","Decision (Split)N/A","3","5:00",2001-02-24
"19","10","Jeremy Williams","Win","Yves Edwards","Decision (Split)N/A","3","5:00",2001-02-24
"20","9","Guy Mezger","Win","Alexander Otsuka","TKO (Doctor Stoppage)N/A","2","1:57",2001-02-24
"21","8","Rafiel Torre","Win","Ioka Tianuu","Submission (Kneebar)N/A","1","1:56",2001-02-24
"22","7","Alex Andrade","Win","Yusuke Imamura","TKO (Submission to Punches)N/A","1","2:46",2001-02-24
"23","6","Marvin Eastman","Win","Floyd Sword","Decision (Split)N/A","3","5:00",2001-02-24
"24","5","Jacen Flynn","Win","Dean Lister","Decision (Split)N/A","2","5:00",2001-02-24
"25","4","Reggie Cardiel","Draw","Tony Galindo","DrawN/A","2","5:00",2001-02-24
"26","3","Shungo Oyama","Win","Mike Bourke","KO (Punch)N/A","1","0:17",2001-02-24
"27","2","Victor Hunsaker","Win","Kevin Hogan","Submission (Armbar)N/A","1","4:36",2001-02-24
"28","1","Tony Huecias","Win","Alex Richard","TKO (Corner Stoppage)N/A","1","5:00",2001-02-24
"29","8","Vitor Belfort","Win","Gilbert Yvel","Method Decision (Unanimous)","2","10:00",2000-06-04
"30","7","Igor Vovchanchyn","Win","Daijiro Matsui","TKO (Doctor Stoppage)Yuichi Watanabe","1","5:03",2000-06-04
"31","6","Ricco Rodriguez","Win","Gary Goodridge","Decision (Unanimous)Yuichi Watanabe","2","10:00",2000-06-04
"32","5","Akira Shoji","Win","John Renken","Submission (Armbar)Yuji Shimada","1","6:44",2000-06-04
"33","4","Carlos Newton","Win","Naoki Sano","Submission (Armbar)Akira Okabayashi","1","0:40",2000-06-04
"34","3","Allan Goes","Win","Vernon White","Decision (Unanimous)Yuji Shimada","2","10:00",2000-06-04
"35","2","Carlos Barreto","Win","Tra Telligman","Decision (Unanimous)Akira Okabayashi","2","10:00",2000-06-04
"36","1","Heath Herring","Win","Willie Peeters","Submission (Rear-Naked Choke)Yuichi Watanabe","1","0:48",2000-06-04
"37","9","Kazushi Sakuraba","Win","Ryan Gracie","Method Decision (Unanimous)","1","10:00",2000-12-23
"38","8","Igor Vovchanchyn","Win","Mark Kerr","Decision (Unanimous)N/A","3","5:00",2000-12-23
"39","7","Kazuyuki Fujita","Win","Gilbert Yvel","Decision (Unanimous)N/A","2","5:00",2000-12-23
"40","6","Wanderlei Silva","Win","Dan Henderson","Decision (Unanimous)N/A","3","5:00",2000-12-23
"41","5","Heath Herring","Win","Enson Inoue","TKO (Knees)N/A","1","4:52",2000-12-23
"42","4","Ricardo Almeida","Win","Akira Shoji","Decision (Unanimous)N/A","2","5:00",2000-12-23
"43","3","Ricco Rodriguez","Win","John Marsh","Decision (Unanimous)N/A","2","5:00",2000-12-23
"44","2","Carlos Newton","Win","Johil de Oliveira","Decision (Unanimous)N/A","2","5:00",2000-12-23
"45","1","Guy Mezger","Win","Alexander Otsuka","TKO (Punches)N/A","1","1:52",2000-12-23
"46","8","Royce Gracie","Win","Gerard Gordeau","Method Submission (Rear-Naked Choke)","1","1:44",1993-11-12
"47","7","Jason DeLucia","Win","Trent Jenkins","Submission (Rear-Naked Choke)Joao Alberto Barreto","1","0:52",1993-11-12
"48","6","Royce Gracie","Win","Ken Shamrock","Submission (Rear-Naked Choke)Helio Vigio","1","0:57",1993-11-12
"49","5","Gerard Gordeau","Win","Kevin Rosier","TKO (Corner Stoppage)Joao Alberto Barreto","1","0:59",1993-11-12
"50","4","Ken Shamrock","Win","Patrick Smith","Submission (Heel Hook)Helio Vigio","1","1:49",1993-11-12
"51","3","Royce Gracie","Win","Art Jimmerson","Submission (Smother Choke)Joao Alberto Barreto","1","2:18",1993-11-12
"52","2","Kevin Rosier","Win","Zane Frazier","TKO (Punches)Helio Vigio","1","4:20",1993-11-12
"53","1","Gerard Gordeau","Win","Teila Tuli","TKO (Head Kick)Joao Alberto Barreto","1","0:26",1993-11-12
"54","15","Royce Gracie","Win","Patrick Smith","Method TKO (Submission to Punches)","1","1:17",1994-03-11
"55","14","Royce Gracie","Win","Remco Pardoel","Submission (Lapel Choke)John McCarthy","1","1:31",1994-03-11
"56","13","Patrick Smith","Win","Johnny Rhodes","Submission (Guillotine Choke)John McCarthy","1","1:07",1994-03-11
"57","12","Royce Gracie","Win","Jason DeLucia","Submission (Armbar)John McCarthy","1","1:07",1994-03-11
"58","11","Remco Pardoel","Win","Orlando Wiet","KO (Elbows)John McCarthy","1","1:29",1994-03-11
"59","10","Johnny Rhodes","Win","Fred Ettish","Submission (Rear-Naked Choke)John McCarthy","1","3:07",1994-03-11
"60","9","Patrick Smith","Win","Scott Morris","KO (Elbows)John McCarthy","1","0:30",1994-03-11
"61","8","Royce Gracie","Win","Minoki Ichihara","Submission (Lapel Choke)John McCarthy","1","5:08",1994-03-11
"62","7","Jason DeLucia","Win","Scott Baker","TKO (Submission to Punches)John McCarthy","1","6:41",1994-03-11
"63","6","Remco Pardoel","Win","Alberto Cerra Leon","Submission (Armlock)John McCarthy","1","9:51",1994-03-11
"64","5","Orlando Wiet","Win","Robert Lucarelli","TKO (Knees)John McCarthy","1","2:50",1994-03-11
"65","4","Frank Hamaker","Win","Thaddeus Luster","TKO (Corner Stoppage)John McCarthy","1","4:52",1994-03-11
"66","3","Johnny Rhodes","Win","David Levicki","TKO (Submission to Punches)John McCarthy","1","12:13",1994-03-11
"67","2","Patrick Smith","Win","Ray Wizard","Submission (Guillotine Choke)John McCarthy","1","0:58",1994-03-11
"68","1","Scott Morris","Win","Sean Daugherty","Submission (Guillotine Choke)John McCarthy","1","0:20",1994-03-11
"69","6","Steve Jennum","Win","Harold Howard","Method TKO (Submission to Punches)","1","1:27",1994-09-09
"70","5","Ken Shamrock","Win","Felix Mitchell","Submission (Rear-Naked Choke)John McCarthy","1","4:34",1994-09-09
"71","4","Royce Gracie","Win","Kimo Leopoldo","Submission (Armbar)John McCarthy","1","4:40",1994-09-09
"72","3","Harold Howard","Win","Roland Payne","KO (Punch)John McCarthy","1","0:46",1994-09-09
"73","2","Ken Shamrock","Win","Christophe Leninger","TKO (Submission to Punches)John McCarthy","1","4:49",1994-09-09
"74","1","Keith Hackney","Win","Emmanuel Yarborough","TKO (Punches)John McCarthy","1","1:59",1994-09-09
"75","10","Royce Gracie","Win","Dan Severn","Method Submission (Triangle Choke)","1","15:49",1994-12-16
"76","9","Guy Mezger","Win","Jason Fairn","TKO (Corner Stoppage)John McCarthy","1","2:13",1994-12-16
"77","8","Dan Severn","Win","Marcus Bossett","Submission (Rear-Naked Choke)John McCarthy","1","0:52",1994-12-16
"78","7","Royce Gracie","Win","Keith Hackney","Submission (Armbar)John McCarthy","1","5:32",1994-12-16
"79","6","Dan Severn","Win","Anthony Macias","Submission (Rear-Naked Choke)John McCarthy","1","1:45",1994-12-16
"80","5","Steve Jennum","Win","Melton Bowen","Submission (Armlock)John McCarthy","1","4:47",1994-12-16
