"","Match","Fighter","Result","Opponent","Method","Round","Time","Date"
"81","4","Keith Hackney","Win","Joe Son","Submission (Choke)John McCarthy","1","2:44",1994-12-16
"82","3","Royce Gracie","Win","Ron van Clief","Submission (Rear-Naked Choke)John McCarthy","1","3:59",1994-12-16
"83","2","Marcus Bossett","Win","Eldo Dias Xavier","KOJohn McCarthy","1","4:55",1994-12-16
"84","1","Joe Charles","Win","Kevin Rosier","Submission (Armbar)John McCarthy","1","0:14",1994-12-16
"85","10","Dan Severn","Win","Dave Beneteau","Method Submission (Keylock)","1","3:01",1995-04-07
"86","9","Ken Shamrockd","Win","Royce Gracie","DrawJohn McCarthy","1","36:00",1995-04-07
"87","8","Dan Severn","Win","Oleg Taktarov","TKO (Cut)John McCarthy","1","4:21",1995-04-07
"88","7","Dave Beneteau","Win","Todd Medina","TKO (Punches)John McCarthy","1","2:12",1995-04-07
"89","6","Dan Severn","Win","Joe Charles","Submission (Rear-Naked Choke)John McCarthy","1","1:38",1995-04-07
"90","5","Oleg Taktarov","Win","Ernie Verdicia","Submission (Scarf Hold)John McCarthy","1","2:23",1995-04-07
"91","4","Todd Medina","Win","Larry Cureton","Submission (Forearm Choke)John McCarthy","1","2:55",1995-04-07
"92","3","Jon Hess","Win","Andy Anderson","TKO (Punches)John McCarthy","1","1:23",1995-04-07
"93","2","Guy Mezger","Win","John Dowdy","TKO (Punches)John McCarthy","1","2:02",1995-04-07
"94","1","Dave Beneteau","Win","Asbel Cancio","TKO (Punches)John McCarthy","1","0:21",1995-04-07
"95","10","Oleg Taktarov","Win","David Abbott","Method Submission (Rear-Naked Choke)","1","17:45",1995-07-14
"96","9","Ken Shamrock","Win","Dan Severn","Submission (Guillotine Choke)John McCarthy","1","2:14",1995-07-14
"97","8","Oleg Taktarov","Win","Anthony Macias","Submission (Guillotine Choke)John McCarthy","1","0:09",1995-07-14
"98","7","David Abbott","Win","Paul Varelans","TKO (Punches)John McCarthy","1","1:53",1995-07-14
"99","6","Oleg Taktarov","Win","Dave Beneteau","Submission (Front Choke)John McCarthy","1","0:57",1995-07-14
"100","5","Patrick Smith","Win","Rudyard Moncayo","Submission (Rear-Naked Choke)John McCarthy","1","1:08",1995-07-14
"101","4","Paul Varelans","Win","Cal Worsham","KO (Elbow)John McCarthy","1","1:02",1995-07-14
"102","3","David Abbott","Win","John Matua","KO (Punch)John McCarthy","1","0:20",1995-07-14
"103","2","Anthony Macias","Win","He-Man Ali Gipson","TKO (Submission to Punches)N/A","1","3:06",1995-07-14
"104","1","Joel Sutton","Win","Jack McLaughlin","TKO (Submission to Punches)N/A","1","2:01",1995-07-14
"105","11","Marco Ruas","Win","Paul Varelans","Method TKO (Leg Kicks and Punches)","1","13:17",1995-09-08
"106","10","Ken Shamrockd","Win","Oleg Taktarov","DrawJohn McCarthy","1","33:00",1995-09-08
"107","9","Marco Ruas","Win","Remco Pardoel","Submission (Position)John McCarthy","1","12:27",1995-09-08
"108","8","Paul Varelans","Win","Mark Hall","Submission (Keylock)N/A","1","1:04",1995-09-08
"109","7","Marco Ruas","Win","Larry Cureton","Submission (Heel Hook)John McCarthy","1","3:23",1995-09-08
"110","6","Remco Pardoel","Win","Ryan Parker","Submission (Lapel Choke)John McCarthy","1","3:05",1995-09-08
"111","5","Mark Hall","Win","Harold Howard","TKO (Submission to Strikes)John McCarthy","1","1:41",1995-09-08
"112","4","Paul Varelans","Win","Gerry Harris","TKO (Submission to Elbows)John McCarthy","1","1:07",1995-09-08
"113","3","Scott Bessac","Win","David Hood","Submission (Guillotine Choke)N/A","1","0:31",1995-09-08
"114","2","Onassis Parungao","Win","Francesco Maturi","TKO (Submission to Strikes)John McCarthy","1","5:26",1995-09-08
"115","1","Joel Sutton","Win","Geza Kalman","TKO (Cut)John McCarthy","1","0:48",1995-09-08
"116","9","Dan Severn","Win","Oleg Taktarov","Method Decision","1","30:00",1995-12-16
"117","8","Oleg Taktarov","Win","Marco Ruas","DecisionJohn McCarthy","1","18:00",1995-12-16
"118","7","Dan Severn","Win","David Abbott","Decision (Unanimous)John McCarthy","1","18:00",1995-12-16
"119","6","Oleg Taktarov","Win","Dave Beneteau","Submission (Achilles Hold)John McCarthy","1","1:15",1995-12-16
"120","5","Marco Ruas","Win","Keith Hackney","Submission (Rear-Naked Choke)John McCarthy","1","2:39",1995-12-16
"121","4","Dan Severn","Win","Paul Varelans","Submission (Arm-Triangle Choke)John McCarthy","1","1:40",1995-12-16
"122","3","David Abbott","Win","Steve Jennum","Submission (Neck Crank)John McCarthy","1","1:14",1995-12-16
"123","2","Mark Hall","Win","Trent Jenkins","Submission (Armlock)John McCarthy","1","5:29",1995-12-16
"124","1","Joe Charles","Win","Scott Bessac","Submission (Armlock)John McCarthy","1","4:38",1995-12-16
"125","9","Don Frye","Win","Gary Goodridge","Method Submission (Position)","1","2:14",1996-02-16
"126","8","Ken Shamrock","Win","Kimo Leopoldo","Submission (Kneebar)John McCarthy","1","4:24",1996-02-16
"127","7","Gary Goodridge","Win","Jerry Bohlander","TKO (Punches)John McCarthy","1","5:31",1996-02-16
"128","6","Don Frye","Win","Sam Adkins","TKO (Doctor Stoppage)John McCarthy","1","0:48",1996-02-16
"129","5","Gary Goodridge","Win","Paul Herrera","KO (Elbows)John McCarthy","1","0:13",1996-02-16
"130","4","Jerry Bohlander","Win","Scott Ferrozzo","Submission (Guillotine Choke)John McCarthy","1","9:03",1996-02-16
"131","3","Paul Varelans","Win","Joe Moreira","Decision (Unanimous)John McCarthy","1","10:00",1996-02-16
"132","2","Don Frye","Win","Thomas Ramirez","KO (Punch)John McCarthy","1","0:08",1996-02-16
"133","1","Sam Adkins","Win","Keith Mielke","TKO (Submission to Punches)John McCarthy","1","0:50",1996-02-16
"134","7","Dan Severn","Win","Ken Shamrock","Method Decision (Split)","1","30:00",1996-05-17
"135","6","Don Frye","Win","Amaury Bitetti","TKO (Punches)John McCarthy","1","9:22",1996-05-17
"136","5","Mark Hall","Win","Koji Kitao","TKO (Doctor Stoppage)John McCarthy","1","0:40",1996-05-17
"137","4","Mark Schultz","Win","Gary Goodridge","TKO (Cut)John McCarthy","1","12:00",1996-05-17
"138","3","Rafael Carino","Win","Matt Andersen","TKO (Punches)John McCarthy","1","5:32",1996-05-17
"139","2","Cal Worsham","Win","Zane Frazier","TKO (Punches)John McCarthy","1","3:14",1996-05-17
"140","1","Steve Nelmark","Win","Tai Bowden","TKO (Doctor Stoppage)N/A","1","7:25",1996-05-17
"141","9","Mark Coleman","Win","Don Frye","Method TKO (Punches)","1","11:34",1996-07-12
"142","8","Mark Coleman","Win","Gary Goodridge","Submission (Exhaustion)John McCarthy","1","7:00",1996-07-12
"143","7","Don Frye","Win","Brian Johnston","TKO (Submission to Elbow)John McCarthy","1","4:37",1996-07-12
"144","6","Gary Goodridge","Win","John Campetella","KO (Punches)John McCarthy","1","1:28",1996-07-12
"145","5","Mark Coleman","Win","Moti Horenstein","TKO (Submission to Punches)John McCarthy","1","2:43",1996-07-12
"146","4","Brian Johnston","Win","Scott Fiedler","TKO (Submission to Punches)John McCarthy","1","2:25",1996-07-12
"147","3","Don Frye","Win","Mark Hall","TKO (Punches)John McCarthy","1","10:21",1996-07-12
"148","2","Sam Adkins","Win","Felix Mitchell","Decision (Unanimous)N/A","1","10:00",1996-07-12
"149","1","Geza Kalman","Win","Dieuseul Berto","TKO (Punches)N/A","1","5:57",1996-07-12
"150","8","Scott Ferrozzo","Win","David Abbott","Method Decision (Unanimous)","1","15:00",1996-09-20
"151","7","Mark Coleman","Win","Brian Johnston","TKO (Submission to Strikes)John McCarthy","1","2:20",1996-09-20
"152","6","Jerry Bohlander","Win","Fabio Gurgel","Decision (Unanimous)John McCarthy","1","15:00",1996-09-20
"153","5","David Abbott","Win","Sam Adkins","Submission (Forearm Choke)John McCarthy","1","2:06",1996-09-20
"154","4","Brian Johnston","Win","Reza Nasri","TKO (Strikes)John McCarthy","1","0:28",1996-09-20
"155","3","Mark Coleman","Win","Julian Sanchez","Submission (Scarf Hold)John McCarthy","1","0:45",1996-09-20
"156","2","Roberto Traven","Win","Dave Berry","TKO (Submission to Strikes)John McCarthy","1","1:23",1996-09-20
"157","1","Scott Ferrozzo","Win","Sam Fulton","TKO (Submission to Strikes)John McCarthy","1","0:00",1996-09-20
"158","10","Don Frye","Win","David Abbott","Method Submission (Rear-Naked Choke)","1","1:22",1996-12-07
"159","9","David Abbott","Win","Steve Nelmark","KO (Punch)John McCarthy","1","1:03",1996-12-07
"160","8","Don Frye","Win","Mark Hall","Submission (Achilles Lock)John McCarthy","1","0:20",1996-12-07
"161","7","Ken Shamrock","Win","Brian Johnston","Submission (Forearm Choke)John McCarthy","1","5:48",1996-12-07
"162","6","Kimo Leopoldo","Win","Paul Varelans","TKO (Corner Stoppage)John McCarthy","1","9:08",1996-12-07
"163","5","David Abbott","Win","Cal Worsham","TKO (Submission to Punches)John McCarthy","1","2:51",1996-12-07
"164","4","Don Frye","Win","Gary Goodridge","Submission (Fatigue)John McCarthy","1","11:19",1996-12-07
"165","3","Tai Bowden","Win","Jack Nilson","TKO (Submission to Headbutts)N/A","1","4:46",1996-12-07
"166","2","Steve Nelmark","Win","Marcus Bossett","Submission (Shoulder Choke)N/A","1","1:37",1996-12-07
"167","1","Mark Hall","Win","Felix Mitchell","TKO (Punches)N/A","1","1:45",1996-12-07
"168","9","Mark Coleman","Win","Dan Severn","Method Submission (Scarf Hold)","1","2:57",1997-02-07
"169","8","Vitor Belfort","Win","Scott Ferrozzo","TKO (Punches)John McCarthy","1","0:43",1997-02-07
"170","7","Jerry Bohlander","Win","Nick Sanzo","Submission (Crucifix Choke)John McCarthy","1","0:39",1997-02-07
"171","6","Vitor Belfort","Win","Tra Telligman","TKO (Cut)John McCarthy","1","1:17",1997-02-07
"172","5","Scott Ferrozzo","Win","Jim Mullen","TKO (Punches)John McCarthy","1","8:02",1997-02-07
"173","4","Kazuo Takahashi","Win","Wallid Ismail","Decision (Unanimous)John McCarthy","1","15:00",1997-02-07
"174","3","Jerry Bohlander","Win","Rainy Martinez","Submission (Rear-Naked Choke)John McCarthy","1","1:18",1997-02-07
"175","2","Justin Martin","Win","Eric Martin","Submission (Heel Hook)John McCarthy","1","0:14",1997-02-07
"176","1","Nick Sanzo","Win","Jackie Lee","TKO (Strikes)John McCarthy","1","0:48",1997-02-07
"177","9","Vitor Belfort","Win","David Abbott","Method TKO (Punches)","1","0:52",1997-05-30
"178","8","Randy Couture","Win","Steven Graham","TKO (Punches)John McCarthy","1","3:13",1997-05-30
"179","7","Guy Mezger","Win","Tito Ortiz","Submission (Guillotine Choke)John McCarthy","1","3:00",1997-05-30
"180","6","Randy Couture","Win","Tony Halme","Submission (Rear-Naked Choke)John McCarthy","1","0:56",1997-05-30
"181","5","Steven Graham","Win","Dmitri Stepanov","Submission (Armlock)John McCarthy","1","1:30",1997-05-30
"182","4","Enson Inoue","Win","Royce Alger","Submission (Armlock)John McCarthy","1","1:36",1997-05-30
"183","3","Guy Mezger","Win","Christophe Leninger","Decision (Unanimous)John McCarthy","1","15:00",1997-05-30
"184","2","Jack Nilson","Win","Saeed Hosseini","TKO (Elbows)Joe Hamilton","1","1:23",1997-05-30
"185","1","Tito Ortiz","Win","Wes Albritton","TKO (Punches)Joe Hamilton","1","0:31",1997-05-30
"186","9","Maurice Smith","Win","Mark Coleman","Method Decision (Unanimous)","1","21:00",1997-07-27
"187","8","Mark Kerr","Win","Dan Bobish","Submission (Chin to the Eye)John McCarthy","1","1:38",1997-07-27
"188","7","Kevin Jackson","Win","Tony Fryklund","Submission (Rear-Naked Choke)John McCarthy","1","0:44",1997-07-27
"189","6","Dan Bobish","Win","Brian Johnston","Submission (Forearm Choke)John McCarthy","1","2:10",1997-07-27
"190","5","Mark Kerr","Win","Moti Horenstein","TKO (Punches)John McCarthy","1","2:22",1997-07-27
"191","4","Kevin Jackson","Win","Todd Butler","TKO (Submission to Punches)John McCarthy","1","1:27",1997-07-27
"192","3","Joe Moreira","Win","Yuri Vaulin","Decision (Unanimous)John McCarthy","1","15:00",1997-07-27
"193","2","Alex Hunter","Win","Sam Fulton","TKO (Punches)John McCarthy","1","2:22",1997-07-27
"194","1","Tony Fryklund","Win","Donnie Chappell","Submission (Choke)John McCarthy","1","1:31",1997-07-27
"195","7","Maurice Smith","Win","David Abbott","Method TKO (Leg Kicks)","1","8:08",1997-10-17
"196","6","Mark Kerr","Win","Dwayne Cason","Submission (Rear-Naked Choke)John McCarthy","1","0:53",1997-10-17
"197","5","Randy Couture","Win","Vitor Belfort","TKO (Punches)John McCarthy","1","8:16",1997-10-17
"198","4","Dave Beneteau","Win","Carlos Barreto","DecisionJohn McCarthy","1","15:00",1997-10-17
"199","3","Mark Kerr","Win","Greg Stott","KO (Knee)John McCarthy","1","0:17",1997-10-17
"200","2","Dwayne Cason","Win","Houston Dorr","TKO (Punches)Joe Hamilton","1","3:43",1997-10-17
"201","1","Alex Hunter","Win","Harry Moskowitz","Decision (Split)Joe Hamilton","1","10:00",1997-10-17
"202","7","Randy Couture","Win","Maurice Smith","Method Decision","1","21:00",1997-12-21
"203","6","Kazushi Sakuraba","Win","Marcus Silveira","Submission (Armbar)John McCarthy","1","3:44",1997-12-21
"204","5","Vitor Belfort","Win","Joe Charles","Submission (Armbar)John McCarthy","1","4:03",1997-12-21
"205","4","Frank Shamrock","Win","Kevin Jackson","Submission (Armbar)John McCarthy","1","0:16",1997-12-21
"206","3","Kazushi Sakurab","Win","Marcus Silvei","No Contest (Premature Stoppage)N/A","1","0:00",1997-12-21
"207","2","David Abbott","Win","Yoji Anjo","DecisionJohn McCarthy","1","15:00",1997-12-21
"208","1","Tra Telligman","Win","Brad Kohler","Submission (Armbar)John McCarthy","1","10:05",1997-12-21
"209","8","Frank Shamrock","Win","Igor Zinoviev","Method KO (Slam)","1","0:22",1998-03-13
"210","7","Tsuyoshi Kosaka","Win","Kimo Leopoldo","Decision (Unanimous)John McCarthy","1","15:00",1998-03-13
"211","6","Pat Miletich","Win","Chris Brennan","Submission (Shoulder Choke)John McCarthy","1","9:02",1998-03-13
"212","5","Jerry Bohlander","Win","Kevin Jackson","Technical Submission (Armbar)John McCarthy","1","10:23",1998-03-13
"213","4","Pat Miletich","Win","Townsend Saunders","Decision (Split)Joe Hamilton","1","15:00",1998-03-13
"214","3","Mikey Burnett","Win","Eugenio Tadeu","TKO (Punches)Joe Hamilton","1","9:46",1998-03-13
"215","2","Chris Brennan","Win","Courtney Turner","Submission (Armbar)Joe Hamilton","1","4:20",1998-03-13
"216","1","LaVerne Clark","Win","Josh Stuart","TKO (Punches)Joe Hamilton","1","1:15",1998-03-13
"217","9","Frank Shamrock","Win","Jeremy Horn","Method Submission (Kneebar)","1","16:28",1998-05-15
"218","8","Pete Williams","Win","Mark Coleman","KO (Head Kick)John McCarthy","1","12:38",1998-05-15
"219","7","Dan Henderson","Win","Carlos Newton","Decision (Split)John McCarthy","1","15:00",1998-05-15
"220","6","David Abbott","Win","Hugo Duarte","TKO (Punches)John McCarthy","1","0:43",1998-05-15
"221","5","Mike Van Arsdale","Win","Joe Pardo","Submission (Keylock)John McCarthy","1","11:01",1998-05-15
"222","4","Carlos Newton","Win","Bob Gilstrap","Submission (Triangle Choke)John McCarthy","1","0:52",1998-05-15
"223","3","Dan Henderson","Win","Allan Goes","Decision (Unanimous)Joe Hamilton","1","15:00",1998-05-15
"224","2","Andre Roberts","Win","Harry Moskowitz","KO (Elbow)John McCarthy","1","3:15",1998-05-15
"225","1","Chuck Liddell","Win","Noe Hernandez","Decision (Unanimous)John McCarthy","1","12:00",1998-05-15
"226","8","Frank Shamrock","Win","John Lober","Method TKO (Submission to Punches)","1","7:40",1998-10-16
"227","7","Vitor Belfort","Win","Wanderlei Silva","TKO (Punches)John McCarthy","1","0:44",1998-10-16
"228","6","Pedro Rizzo","Win","David Abbott","KO (Punch)John McCarthy","1","8:07",1998-10-16
"229","5","Pat Miletich","Win","Mikey Burnett","DecisionJohn McCarthy","1","21:00",1998-10-16
"230","4","Tsuyoshi Kosaka","Win","Pete Williams","DecisionJohn McCarthy","1","15:00",1998-10-16
"231","3","Ebenezer Fontes Braga","Win","Jeremy Horn","Submission (Guillotine Choke)John McCarthy","1","3:27",1998-10-16
"232","2","Tulio Palhares","Win","Adriano Santos","TKOJohn McCarthy","1","9:00",1998-10-16
"233","1","Cesar Marcussi","Win","Paulo Santos","TKOJohn McCarthy","1","0:00",1998-10-16
"234","7","Bas Rutten","Win","Tsuyoshi Kosaka","Method TKO (Punches)","1","14:15",1999-01-08
"235","6","Pat Miletich","Win","Jorge Patino","Decision (Unanimous)John McCarthy","1","21:00",1999-01-08
"236","5","Pedro Rizzo","Win","Mark Coleman","Decision (Split)John McCarthy","1","15:00",1999-01-08
"237","4","Tito Ortiz","Win","Jerry Bohlander","TKO (Cut)John McCarthy","1","14:31",1999-01-08
"238","3","Mikey Burnett","Win","Townsend Saunders","Decision (Unanimous)John McCarthy","1","15:00",1999-01-08
"239","2","Evan Tanner","Win","Darrell Gholar","Submission (Rear-Naked Choke)John McCarthy","1","7:57",1999-01-08
"240","1","LaVerne Clark","Win","Frank Caracci","TKO (Submission to Strikes)John McCarthy","1","6:52",1999-01-08
"241","7","Tito Ortiz","Win","Guy Mezger","Method TKO (Punches)","1","9:56",1999-03-05
"242","6","Gary Goodridge","Win","Andre Roberts","TKO (Submission to Punch)John McCarthy","1","0:43",1999-03-05
"243","5","Jeremy Horn","Win","Chuck Liddell","Technical Submission (Arm-Triangle Choke)John McCarthy","1","12:00",1999-03-05
"244","4","Kevin Randleman","Win","Maurice Smith","Decision (Unanimous)John McCarthy","1","15:00",1999-03-05
"245","3","Evan Tanner","Win","Valeri Ignatov","TKO (Elbows)John McCarthy","1","2:58",1999-03-05
"246","2","Pete Williams","Win","Jason Godsey","Submission (Kneebar)John McCarthy","1","1:46",1999-03-05
"247","1","Sione Latu","Win","Joey Roberts","TKO (Cut)N/A","1","N/A",1999-03-05
"248","7","Bas Rutten","Win","Kevin Randleman","Method Decision (Split)","1","21:00",1999-05-07
"249","6","Pedro Rizzo","Win","Tra Telligman","KO (Punch)John McCarthy","1","4:30",1999-05-07
"250","5","Pete Williams","Win","Travis Fulton","Submission (Armlock)John McCarthy","1","6:28",1999-05-07
"251","4","Wanderlei Silva","Win","Tony Petarra","KO (Knee)John McCarthy","1","2:53",1999-05-07
"252","3","Marcelo Mello","Win","Dave Roberts","TKO (Punches)John McCarthy","1","1:23",1999-05-07
"253","2","LaVerne Clark","Win","Fabiano Iha","TKO (Doctor Stoppage)John McCarthy","1","1:31",1999-05-07
"254","1","Ron Waterman","Win","Chris Condo","TKO (Punches)John McCarthy","1","0:28",1999-05-07
"255","8","Maurice Smith","Win","Marco Ruas","Method TKO (Corner Stoppage)","1","5:00",1999-07-16
"256","7","Pat Miletich","Win","Andre Pederneiras","TKO (Doctor Stoppage)John McCarthy","2","2:20",1999-07-16
